cat,x,y
105,218533.439145862,5198405.98954774
106,218533.538917424,5198405.98279234
107,218568.627101127,5198381.98518579
108,218568.65301275,5198382.08177041
109,219934.636200518,5193158.82641651
110,219934.640573182,5193158.92632087
111,219936.916640042,5193209.00345574
112,219936.92160739,5193208.90357919
113,216615.910236154,5194935.93862235
114,216615.944155926,5194935.84455084
115,216615.897482724,5194858.67207606
116,216615.901533645,5194858.77199398
117,218238.412440923,5198497.146076
118,218238.512324773,5198497.14125766
119,218289.095174209,5198494.74757143
120,218288.995285433,5198494.75228656
121,218035.484650151,5198506.91352425
122,218035.584545952,5198506.90896038
123,218085.508021378,5198504.64141616
124,218085.408153728,5198504.63627297
125,220192.901637077,5199580.82975526
126,220193.001528723,5199580.82510133
127,220237.40164213,5199579.91914682
128,220237.302163901,5199579.90894476
129,218144.004517758,5198501.70371047
130,218144.104401425,5198501.69888832
131,218194.896211884,5198499.31503326
132,218194.796344234,5198499.30989007
133,217613.017733417,5198530.33517601
134,217613.117644702,5198530.3309647
135,217663.410707321,5198528.21108928
136,217663.310796036,5198528.21530059
137,216455.175467868,5194958.30337309
138,216455.27533139,5194958.29815036
139,216506.457289987,5194955.6214018
140,216506.357426465,5194955.62662453
141,217262.384014234,5198544.36518296
142,217262.483953161,5198544.36168855
143,217313.446132249,5198540.70120171
144,217313.348985421,5198540.72491867
145,213924.672145597,5201244.0427795
146,213924.659114692,5201244.14192685
147,213912.199771593,5201325.25163567
148,213912.27194261,5201325.18241613
149,218220.920545928,5191891.84983112
150,218220.974678878,5191891.76575006
151,218250.536570862,5191848.4545542
152,218250.479118852,5191848.53640325
153,214536.822430331,5199803.81947012
154,214536.922392822,5199803.82220881
155,214649.099883941,5199799.76609151
156,214649.000874778,5199799.78013379
157,213775.516167283,5201438.8913362
158,213775.528060469,5201438.99062644
159,213779.655127497,5201491.6273481
160,213779.692089979,5201491.53442999
161,215312.910934553,5198063.82690995
162,215312.915573144,5198063.9268023
163,215314.896546545,5198115.39335761
164,215314.901871397,5198115.29349948
165,216067.869914195,5195144.21982985
166,216067.925688927,5195144.13682877
167,216104.496836596,5195089.68947667
168,216104.441125238,5195089.7725203
169,220009.068412918,5194654.40929873
170,220009.073337189,5194654.50917741
171,220015.903679526,5194815.70152018
172,220015.898902034,5194815.60163437
173,220152.873674667,5197668.32549959
174,220152.906890861,5197668.41982183
175,220164.614469777,5197859.7485388
176,220164.600169069,5197859.64956664
177,214147.41113757,5200620.01656036
178,214147.455439182,5200620.10621173
179,214142.081323325,5200720.52773612
180,214142.136115726,5200720.44408331
181,217268.829230198,5193329.07755744
182,217268.884709595,5193328.99435867
183,217298.538194118,5193284.81393425
184,217298.474710846,5193284.89119921
185,216170.636599424,5194991.47240208
186,216170.686549689,5194991.38577084
187,216218.927892751,5194966.83936964
188,216218.83046362,5194966.81684045
189,216058.284453281,5197972.11076454
190,216058.384310641,5197972.10542528
191,216128.441252421,5197982.93037981
192,216128.345286736,5197982.90226243
193,220171.934427453,5197949.56289251
194,220171.941293116,5197949.66265654
195,220176.864295242,5198026.16780714
196,220176.867386161,5198026.06785492
197,218901.163839608,5206147.90486272
198,218901.158977252,5206147.80498101
199,218898.762472776,5206096.26555234
200,218898.767047114,5206096.36544766
201,218827.349582154,5204527.25722727
202,218827.345009564,5204527.15733187
203,218849.746032769,5204488.88765833
204,218849.646162395,5204488.89274836
205,215236.794850289,5196652.48104751
206,215236.789492164,5196652.38119116
207,215231.923478244,5196591.81220748
208,215231.959205335,5196591.90560756
209,216585.206379509,5194793.32001785
210,216585.186790641,5194793.22195523
211,216581.940478925,5194742.4651437
212,216581.908416619,5194742.55986439
213,214637.718062086,5199592.01001842
214,214637.660138232,5199592.09153423
215,214538.730842312,5199664.03181069
216,214538.816808557,5199663.98072445
217,217829.487188854,5197623.45370549
218,217829.387257467,5197623.45740926
219,217777.998679657,5197626.54388234
220,217778.097479202,5197626.52843404
221,218979.541069749,5207760.60041548
222,218979.520841818,5207760.50248269
223,218971.495348543,5207708.94393027
224,218971.499524909,5207709.04384302
225,215315.49730927,5198141.08293405
226,215315.50194786,5198141.18282641
227,215321.513764362,5198274.12075417
228,215321.490222686,5198274.02356472
229,215295.353506264,5197671.5822353
230,215295.348060118,5197671.48238371
231,215289.933768089,5197609.09362969
232,215289.924846673,5197609.19323093
233,216511.259673458,5194650.86082811
234,216511.215757684,5194650.77098711
235,216482.052189917,5194586.15838381
236,216482.081446331,5194586.2540084
237,216592.874553818,5194349.05212862
238,216592.930052793,5194348.9689429
239,216632.273159203,5194290.96164612
240,216632.209562667,5194291.03881788
241,216919.30180078,5193857.7373501
242,216919.357152227,5193857.65406615
243,216951.765275217,5193806.56917919
244,216951.727901407,5193806.66193262
245,216974.036644727,5199711.65529417
246,216974.136564107,5199711.65127952
247,217025.388872967,5199709.52180105
248,217025.288960255,5199709.52597836
249,216928.504235108,5198553.36595274
250,216928.604164997,5198553.36220878
251,216979.485159421,5198551.74253196
252,216979.385206059,5198551.74558572
253,215534.80239863,5198603.61320587
254,215534.902372432,5198603.610917
255,215601.538696653,5198600.00667851
256,215601.44382715,5198600.03829777
257,218583.793075668,5199648.44554798
258,218583.89299778,5199648.44160192
259,218635.205020823,5199646.82986473
260,218635.105201959,5199646.82384855
261,220237.40164213,5199579.91914682
262,220237.355329439,5199580.00777602
263,220243.044385051,5199586.21544272
264,220242.950158131,5199586.18195709
265,220240.881796883,5199565.97813661
266,220240.880105499,5199566.0781223
267,220237.40164213,5199579.91914682
268,220237.430478986,5199579.82339487
269,217815.471844752,5198518.9128014
270,217815.571743241,5198518.90829674
271,217875.299012992,5198516.10208071
272,217875.201939126,5198516.12609455
273,214296.868429585,5199822.99869497
274,214296.784995822,5199823.05382035
275,214242.763886515,5199858.74601514
276,214242.847320277,5199858.69088976
277,215795.019066349,5195556.7295194
278,215795.07435502,5195556.64619376
279,215834.03921584,5195497.92219059
280,215833.983927169,5195498.00551623
281,215362.320051295,5199774.93583159
282,215362.419950289,5199774.93133816
283,215420.06827366,5199771.70174699
284,215419.969317564,5199771.71615848
285,213762.902106841,5201693.84577442
286,213762.888785049,5201693.9448831
287,213768.164205707,5201696.69762519
288,213768.077859604,5201696.74806675
289,213769.731424682,5201697.80388914
290,213769.718608674,5201697.90306449
291,213734.507296017,5201736.84331832
292,213734.599511326,5201736.80463581
293,216117.63053367,5197842.53378944
294,216117.532565037,5197842.55384304
295,216050.235415679,5197855.86934873
296,216050.334893625,5197855.85914391
297,215197.748343487,5198754.25643836
298,215197.692104957,5198754.33912589
299,215156.558641641,5198812.78637
300,215156.635389829,5198812.72226293
301,216137.245249778,5199742.7859413
302,216137.345249776,5199742.78596332
303,216210.382273173,5199740.4525498
304,216210.282342536,5199740.45627375
305,216286.223208285,5194964.44095876
306,216286.323097177,5194964.43624609
307,216366.65269192,5194960.84261184
308,216366.552833099,5194960.83729998
309,216103.415391139,5198587.24755963
310,216103.515351169,5198587.24473253
311,216184.068773632,5198583.01881961
312,216183.971465278,5198583.04186487
313,214975.402237973,5199085.08706783
314,214975.347107281,5199085.17049808
315,214939.834568025,5199140.59548923
316,214939.881119633,5199140.50698529
317,215333.991900648,5198494.73181389
318,215334.005375113,5198494.83090192
319,215309.650335396,5198583.35830646
320,215309.65463286,5198583.25839884
321,215310.618685683,5198010.90560282
322,215310.718609731,5198010.90170606
323,215340.485630738,5198009.74429661
324,215340.385706011,5198009.7481759
325,215352.012128908,5197948.24017609
326,215351.912490153,5197948.24866835
327,215311.658447323,5197951.66691323
328,215311.758348269,5197951.6624634
329,215301.719550667,5198610.78133552
330,215301.818539956,5198610.76715382
331,215357.683056618,5198607.7071715
332,215357.583105467,5198607.71029678
333,215311.658447323,5197951.66691323
334,215311.559044131,5197951.65600427
335,215306.010282549,5197922.05224309
336,215306.015728694,5197922.15209468
