from_cat,cat,dist,to_x,to_y
27,27,0,223874.720425793,5189792.97749794
27,27,0,223860.417387801,5189795.06595088
27,28,0,223860.417387801,5189795.06595088
27,32,7.825430845874,223882.501709834,5189792.14744578
27,33,0,223874.720425793,5189792.97749794
27,34,0,223874.720425793,5189792.97749794
27,34,0,223860.417387801,5189795.06595088
27,35,0,223860.417387801,5189795.06595088
28,27,0,223860.417387801,5189795.06595088
28,28,0,223845.918344055,5189795.81744466
28,28,0,223860.417387801,5189795.06595088
28,29,0,223845.918344055,5189795.81744466
28,34,0,223860.417387801,5189795.06595088
28,35,0,223845.918344055,5189795.81744466
28,35,0,223860.417387801,5189795.06595088
28,36,0,223845.918344055,5189795.81744466
29,20,8.37142965497112,223829.309350881,5189804.62458201
29,22,9.40181681445456,223829.18803342,5189805.85784548
29,28,0,223845.918344055,5189795.81744466
29,29,0,223845.918344055,5189795.81744466
29,29,0,223834.873365045,5189798.36977739
29,35,0,223845.918344055,5189795.81744466
29,36,0,223834.873365045,5189798.36977739
29,36,0,223845.918344055,5189795.81744466
29,174,2.62863137615268,223832.510383957,5189799.52130824
29,320,8.37142965497112,223829.309350881,5189804.62458201
29,321,6.90986780675683,223830.093744897,5189803.35991811
29,323,6.90986780675683,223830.093744897,5189803.35991811
29,324,2.44895493945295,223833.145479283,5189800.10522866
29,325,0.214366514540444,223834.684574931,5189798.47132194
29,326,0.212891650299993,223834.68198829,5189798.46303935
29,330,0,223834.873365045,5189798.36977739
29,331,0,223834.873365045,5189798.36977739
30,23,0,223903.890755004,5189790.9215674
30,23,0,223897.60909219,5189791.26932525
30,24,0,223897.60909219,5189791.26932525
30,24,6.29128152571263,223897.60909219,5189791.26932525
30,25,6.97870475281738,223896.929881888,5189791.42013083
30,25,0.695750642298275,223896.929881888,5189791.42013083
30,30,0,223897.60909219,5189791.26932525
30,30,0,223903.890755004,5189790.9215674
30,31,0,223897.60909219,5189791.26932525
30,31,6.29128152571263,223897.60909219,5189791.26932525
30,32,6.97870475281738,223896.929881888,5189791.42013083
30,32,0.695750642298275,223896.929881888,5189791.42013083
30,340,0.00893714223615567,223903.899691241,5189790.92169458
30,340,6.3001971008942,223903.899691241,5189790.92169458
30,423,0.0105091434067465,223903.90124561,5189790.92094347
30,423,6.30179058091365,223903.90124561,5189790.92094347
31,23,0,223897.60909219,5189791.26932525
31,23,0.695750642298275,223897.60909219,5189791.26932525
31,24,0,223896.929881888,5189791.42013083
31,24,0,223897.60909219,5189791.26932525
31,25,0.695750642298275,223896.929881888,5189791.42013083
31,25,0,223896.929881888,5189791.42013083
31,30,0.695750642298275,223897.60909219,5189791.26932525
31,30,0,223897.60909219,5189791.26932525
31,31,0,223896.929881888,5189791.42013083
31,31,0,223897.60909219,5189791.26932525
31,32,0,223896.929881888,5189791.42013083
31,32,0.695750642298275,223896.929881888,5189791.42013083
31,340,6.3001971008942,223903.899691241,5189790.92169458
31,340,6.98760911262218,223903.899691241,5189790.92169458
31,423,6.30179058091365,223903.90124561,5189790.92094347
31,423,6.98921312848779,223903.90124561,5189790.92094347
32,23,0.695750642298275,223897.60909219,5189791.26932525
32,24,0,223896.929881888,5189791.42013083
32,25,0,223896.929881888,5189791.42013083
32,25,0,223882.501709834,5189792.14744578
32,26,0,223882.501709834,5189792.14744578
32,27,7.825430845874,223874.720425793,5189792.97749794
32,30,0.695750642298275,223897.60909219,5189791.26932525
32,31,0,223896.929881888,5189791.42013083
32,32,0,223882.501709834,5189792.14744578
32,32,0,223896.929881888,5189791.42013083
32,33,0,223882.501709834,5189792.14744578
32,34,7.825430845874,223874.720425793,5189792.97749794
32,340,6.98760911262218,223903.899691241,5189790.92169458
32,423,6.98921312848779,223903.90124561,5189790.92094347
33,25,0,223882.501709834,5189792.14744578
33,25,7.825430845874,223882.501709834,5189792.14744578
33,26,0,223882.501709834,5189792.14744578
33,26,0,223874.720425793,5189792.97749794
33,27,7.825430845874,223874.720425793,5189792.97749794
33,27,0,223874.720425793,5189792.97749794
33,32,0,223882.501709834,5189792.14744578
33,32,7.825430845874,223882.501709834,5189792.14744578
33,33,0,223882.501709834,5189792.14744578
33,33,0,223874.720425793,5189792.97749794
33,34,7.825430845874,223874.720425793,5189792.97749794
33,34,0,223874.720425793,5189792.97749794
34,25,7.825430845874,223882.501709834,5189792.14744578
34,26,0,223874.720425793,5189792.97749794
34,27,0,223860.417387801,5189795.06595088
34,27,0,223874.720425793,5189792.97749794
34,28,0,223860.417387801,5189795.06595088
