cat,a_cat,b_cat,to_x,to_y
71,789,1,226848.574932487,5138030.5176555
72,857,1,227524.444392794,5184806.90476028
73,3648,1,273966.81146025,5216490.69593883
74,908,1,275374.607390517,5188773.98801382
75,2038,1,222348.499177895,5144686.66111621
76,499,1,223869.931830843,5144699.87701759
77,586,1,224366.60832125,5144604.13975385
78,2946,1,225736.921027384,5175202.13725838
79,2439,1,225489.743431967,5175844.83060846
80,2436,1,224705.052609051,5176859.06678733
81,1062,1,223927.088574065,5177091.75682795
82,487,1,215675.557213272,5173228.14509931
83,1222,1,220092.43692565,5169012.76467782
84,1937,1,226726.536588872,5134790.25280736
85,1421,1,236310.171295524,5132743.1701261
86,1820,1,234701.964738604,5132811.40255779
87,2274,1,234258.77704434,5158671.65352042
88,2274,1,235409.074367398,5158612.85103587
89,1116,1,238893.620655563,5156867.61058395
90,675,1,230808.642636294,5186255.41055309
91,899,1,272755.79058587,5201288.54994835
92,1065,1,231931.629588816,5174575.50043115
93,757,1,230317.962078454,5174868.27335044
94,579,1,228715.720908621,5175373.18400915
95,301,1,266468.316439943,5204190.34554536
96,3627,1,211481.512037133,5212821.40903488
97,1442,1,210670.891537468,5212857.97129403
98,1525,1,237683.753200519,5166587.78828141
99,1459,1,243061.913040505,5166397.28554331
100,682,1,236302.532638663,5166649.88082814
101,2073,1,240337.582654833,5158432.1090467
102,2073,1,240341.856923946,5158432.01401157
103,256,1,242889.50532914,5151865.78814403
104,1355,1,233191.112047162,5136107.43437197
105,1715,1,233198.7913292,5136091.68813377
106,338,1,234097.958016494,5128832.98391938
107,1193,1,235744.65437467,5129575.60382851
108,3476,1,220532.030186391,5173001.62561755
109,113,1,239223.476659653,5164932.59210128
110,1193,1,216088.560077835,5197971.35596195
111,325,1,214275.579265293,5199837.05263677
112,1946,1,219562.224306629,5169046.25952588
113,675,1,230965.084208946,5189501.00578295
114,247,1,219473.049504292,5210803.24320473
115,2336,1,222666.509089499,5210649.63696746
116,2660,1,275649.958512686,5193448.33606264
117,906,1,274892.513220521,5194448.69881618
118,3824,1,274034.101735605,5195734.07033239
119,2932,1,289900.555959977,5204558.10046818
120,3922,1,269562.924527455,5203953.03976737
121,2180,1,268103.543333994,5204766.34271073
122,4585,1,271502.237589245,5199453.2992814
123,3481,1,271116.110474763,5200888.15087255
124,1576,1,270306.908724283,5202285.50726195
125,2903,1,269818.620678778,5203015.05087274
126,3922,1,270036.050770986,5203903.45439303
127,1576,1,273621.638820317,5202197.83577178
128,899,1,272870.487662326,5204947.16241843
129,106,1,228010.149495244,5141204.26816523
130,2039,1,224005.591442805,5142988.24698429
131,1780,1,214568.372745152,5211024.95664292
132,3623,1,214623.74054967,5211153.44111614
133,4204,1,273012.890279415,5213429.44839802
134,1942,1,228335.313096409,5134697.43852804
135,3237,1,220173.470241139,5198000.86441466
136,1751,1,292265.074794954,5199875.60701231
137,4073,1,294230.286759022,5199892.96677331
138,4620,1,291997.156112031,5203921.74629319
139,4072,1,292376.073492045,5202710.63207195
140,1751,1,292543.453346665,5201898.91227504
141,4377,1,272639.487764958,5191761.04662494
142,902,1,272786.600289432,5192826.15234192
143,967,1,239330.531872122,5132602.94430319
144,1688,1,214624.444893032,5199802.27621906
145,1478,1,235407.008262577,5126350.87181134
146,1769,1,237267.062628581,5127754.90237232
