cat,a_cat,b_cat,to_x,to_y
211,1531,1,447584.468868513,4917190.67950592
212,1169,1,447471.886230413,4917192.14982282
213,2606,1,442069.382203182,4917639.16658917
214,2841,1,442069.382203182,4917639.16658917
215,2103,1,445220.906528412,4924857.81504263
216,1874,1,436914.275302062,4921308.30535752
217,3029,1,437436.177528746,4922878.14926022
218,1979,1,433298.675072105,4930948.32991292
219,3016,1,432724.315586088,4930246.50739538
220,1259,1,433298.675072105,4930948.32991292
221,90,1,433575.855459311,4932544.11717655
222,2289,1,445288.464687442,4917088.79683713
223,2282,1,445674.646674952,4917399.33896447
224,3245,1,442407.494605981,4928883.38351493
225,2855,1,442158.097444108,4927675.69633847
226,1520,1,446661.709556963,4919613.33843053
227,799,1,453371.462644198,4913723.8342516
228,675,1,452561.772801049,4912914.37153308
229,1206,1,453371.462644198,4913723.8342516
230,3276,1,441603.352680596,4900771.41547036
231,3276,1,441352.297705108,4901393.83757931
232,2069,1,441352.297705108,4901393.83757931
233,2069,1,441603.352680596,4900771.41547036
234,2287,1,441263.133503591,4919136.36863676
235,1520,1,444108.717615009,4919645.60148703
236,762,1,444108.717615009,4919645.60148703
237,2097,1,444967.825656678,4921855.0898583
238,3244,1,448598.330874871,4924215.4739372
239,3243,1,448734.888170981,4924436.86859819
240,3242,1,448338.472535796,4924438.13274222
241,3386,1,456449.445267815,4929242.21090416
242,697,1,456449.445267815,4929242.21090416
243,1363,1,454238.713585066,4913168.12154225
244,675,1,454238.693590765,4913168.12106443
245,527,1,435361.988789066,4913246.06909101
246,1799,1,454994.535069492,4915693.10820147
247,696,1,453426.552560001,4919953.26558263
248,3024,1,453237.685784356,4921216.96720642
249,2580,1,453226.060735974,4922828.27170799
250,3381,1,453226.060735974,4922828.27170799
251,144,1,453237.685784356,4921216.96720642
252,143,1,453097.404896656,4920896.22064229
253,3365,1,454928.619932829,4903505.74074173
254,1081,1,454472.993865669,4905264.24710626
255,3219,1,443581.485649127,4908134.47959363
256,1692,1,445230.207821899,4906812.74718808
257,547,1,444188.282414436,4912640.17274345
258,547,1,443981.296687577,4912816.02475921
259,1695,1,444188.282414436,4912640.17274345
260,3236,1,451576.785099685,4926046.10689277
261,557,1,447683.290101903,4927674.01508486
262,1373,1,447683.310117555,4927674.01531201
263,3552,1,437355.081426389,4931104.8665829
264,2753,1,437355.081426389,4931104.8665829
265,853,1,438958.79747694,4931102.671801
266,2099,1,436238.130083051,4930165.16547602
267,2098,1,436238.130083051,4930165.16547602
268,2204,1,453373.008446572,4923530.6988375
269,3482,1,451879.231679261,4916389.2962456
270,2606,1,442051.651032653,4916683.19974985
271,1364,1,443582.190660233,4901920.70949972
272,3280,1,443582.190660233,4901920.70949972
273,966,1,443278.901255374,4904593.23590886
274,1699,1,443278.901255374,4904593.23590886
275,3024,1,445213.633640253,4921245.07045659
276,3251,1,444967.820005241,4921855.07063909
277,3219,1,443597.881056199,4905311.2418639
278,795,1,452094.183850328,4919605.25604465
279,2204,1,453426.552560001,4919953.26558263
280,283,1,453426.552560001,4919953.26558263
281,183,1,454213.853633652,4919607.64677129
282,1552,1,456584.398725605,4921407.92803539
283,2645,1,446945.550286047,4917934.32213089
284,2281,1,446781.282444535,4921858.98538307
285,3013,1,426639.80518302,4898916.07391909
286,2820,1,426639.80518302,4898916.07391909
287,3014,1,426639.80518302,4898916.07391909
288,658,1,426639.80518302,4898916.07391909
289,2539,1,426639.80518302,4898916.07391909
290,2540,1,426639.80518302,4898916.07391909
291,522,1,426639.80518302,4898916.07391909
292,2072,1,446807.41806243,4900408.89268215
293,2021,1,448757.542455614,4899798.05816583
294,2036,1,448757.542455614,4899798.05816583
295,3177,1,448757.542455614,4899798.05816583
296,3592,1,448757.542455614,4899798.05816583
297,959,1,446807.41806243,4900408.89268215
298,959,1,446810.93002591,4901607.59372932
299,679,1,454573.756304514,4905302.88258037
300,1799,1,454868.52358574,4904049.73898801
301,3219,1,443607.988135837,4907177.58084839
302,1695,1,446066.872961962,4911189.9511041
303,1351,1,440823.709474693,4912476.23668998
304,380,1,441230.756964546,4914020.43677294
305,972,1,440810.009157827,4911891.77989653
306,1702,1,440810.009157827,4911891.77989653
307,1351,1,440090.685145108,4912225.22977571
308,2071,1,439611.895958466,4912813.57321089
309,1915,1,456593.671445887,4914362.10405205
310,1877,1,445281.642856036,4916598.51211997
311,3444,1,445802.784457968,4916401.79056905
312,1836,1,446339.500478406,4914775.39485732
313,3027,1,447339.127784557,4914940.83583185
314,3443,1,445543.719997743,4917608.42265227
315,1877,1,445288.464687442,4917088.79683713
316,1221,1,449745.598461442,4918792.48827059
317,3026,1,448573.522290968,4919650.40511063
318,1528,1,448048.185202126,4919706.91629827
319,2905,1,450225.063027217,4929239.42844881
320,1447,1,436354.346524748,4932518.84634718
321,90,1,436354.346524748,4932518.84634718
322,2404,1,436354.369365076,4932518.84633676
323,495,1,436354.346524748,4932518.84634718
324,3549,1,435770.751867458,4932399.47855588
325,3375,1,436566.444861154,4932665.8333058
326,2404,1,435753.905380762,4932522.43201597
327,1712,1,435753.905380762,4932522.43201597
328,1447,1,435753.885375845,4932522.43203643
329,495,1,435753.885375845,4932522.43203643
330,90,1,435753.885375845,4932522.43203643
331,3375,1,456894.061466652,4905056.9961568
332,1338,1,431947.460623641,4905117.60693028
333,2449,1,433878.038243283,4904668.84973679
334,1674,1,432290.515556685,4905579.83306224
335,1338,1,427979.604813425,4904514.44988783
336,1351,1,438431.760957314,4910969.70271312
337,1872,1,446945.550286047,4917934.32213089
338,1169,1,447584.468868513,4917190.67950592
339,1372,1,436986.147939694,4926127.55405306
340,2101,1,437143.628481446,4924504.9228894
341,3543,1,437192.320183196,4923688.12157785
342,2853,1,445386.148004035,4924998.78814435
343,3482,1,453408.031924452,4918009.07390396
344,554,1,448181.900381497,4929147.64885338
345,2479,1,448181.900381497,4929147.64885338
346,2843,1,442706.079577596,4904184.52635609
347,2446,1,427672.919003871,4904431.67152012
