cat,a_cat,a_osm_id,a_code,a_fclass,a_name,a_ref,a_oneway,a_maxspeed,a_layer,a_bridge,a_tunnel,b_cat,to_x,to_y
177,138784,"18138228",5115,"tertiary","County Road 110","CR 110","B",0,0,"F","F",1,440462.87569708,4913222.560293
178,136106,"18134858",5114,"secondary","Hiawatha Pioneer Trail","MN 99","B",88,0,"F","F",1,446339.510479296,4914777.22104624
179,138122,"18137431",5122,"residential","380th Street",,"B",0,0,"F","F",1,445803.884690205,4916405.43348425
180,218693,"18233257",5115,"tertiary","German Road","CR 53","B",0,0,"F","F",1,436564.537008038,4932665.81643758
181,138784,"18138228",5115,"tertiary","County Road 110","CR 110","B",0,0,"F","F",1,438884.955535301,4913219.69382444
182,368512,"186911964",5115,"tertiary","211th Avenue","CR 32","B",0,0,"F","F",1,445384.823717487,4924998.5652308
183,431978,"400090835",5112,"trunk",,"US 169","F",104,0,"F","F",1,432727.514319729,4930247.48948923
184,432666,"405241307",5112,"trunk",,"US 169","F",104,0,"F","F",1,432701.336692458,4930240.71283776
185,138348,"18137716",5114,"secondary","The Colvill Memorial Highway","MN 19","B",88,0,"F","F",1,433574.872347611,4932543.16793665
186,136201,"18134984",5141,"service",,,"B",0,0,"F","F",1,445543.0206756,4917610.95308635
187,138698,"18138127",5122,"residential","191st Avenue","TWP 41","B",0,0,"F","F",1,448595.262154567,4924214.32980445
188,136096,"18134847",5114,"secondary","Hiawatha Pioneer Trail","MN 99","B",88,0,"F","F",1,437025.227056027,4912064.90283103
189,137331,"18136490",5122,"residential","275th Avenue",,"B",0,0,"F","F",1,434773.718464775,4913765.65501706
190,368492,"186764736",5115,"tertiary","Lexington Avenue Northwest","CR 26","B",48,0,"F","F",1,453237.093369914,4921218.43779818
191,929344,"1319683526",5122,"residential","Acorn Lane",,"B",0,0,"F","F",1,451940.364288989,4915869.43353289
192,136728,"18135696",5141,"service",,,"B",0,0,"F","F",1,451921.70761061,4916684.95758468
193,583329,"765854951",5115,"tertiary","County Road 114","CR 114","B",0,1,"T","F",1,441242.750899502,4916859.43705499
194,583327,"765854949",5115,"tertiary","County Road 11","CR 11","B",0,1,"T","F",1,442053.597325422,4916683.06619619
195,138134,"18137445",5122,"residential","141st Avenue",,"B",0,0,"F","F",1,456584.827358825,4921408.84827617
196,138553,"18137945",5115,"tertiary","Lexington Road","CR 26","B",88,0,"F","F",1,439889.37172979,4921265.29024685
197,745031,"973164852",5115,"tertiary","340th Street","TWP 39","B",0,0,"F","F",1,439665.984698454,4922867.39502681
198,472534,"584115364",5141,"service",,,"B",0,0,"F","F",1,441471.652836691,4914432.89471382
199,138086,"18137392",5115,"tertiary","211th Avenue","CR 5","B",0,0,"F","F",1,445281.195304317,4916598.47443262
200,137022,"18136059",5141,"service",,,"B",0,0,"F","F",1,446467.557673207,4914683.70305903
