cat,a_cat,a_LINEARID,a_FULLNAME,a_RTTYP,a_MTFCC,b_cat,to_x,to_y
63,418,"110208051117","Co Rd 119","C","S1400",1,392073.202721301,4887233.56580861
64,3463,"110208064266","185th St","M","S1400",1,429895.328133087,4881135.20439103
65,795,"110208051185","Co Rd 144","C","S1400",1,395940.36563858,4857413.39110982
66,1791,"110208059542","137th St","M","S1400",1,433557.75685493,4866623.28641696
67,444,"110208050754","Co Rd 21","C","S1400",1,432831.852532063,4864984.45052629
68,3601,"1103690954653","T 162","M","S1400",1,434301.963605752,4881880.06849497
69,2929,"1104259735348","613th Ave","M","S1400",1,432715.407298606,4864373.31201689
70,1629,"1103370185841","626th Ave","M","S1400",1,436909.838807547,4883870.46268542
71,2104,"1106087306518","T-164","M","S1400",1,435118.577589465,4882673.59561458
72,2400,"110208050775","State Hwy 22","S","S1200",1,423165.751358153,4874278.96077362
73,3884,"1104259735748","586th Ave","M","S1400",1,424776.608482479,4874743.65204518
74,4116,"1103690954964","T-163","M","S1400",1,433253.57002336,4883504.37725503
75,2757,"110208057990","T-23","M","S1400",1,423980.973420553,4858664.93615747
76,2007,"110208050408","Co Rd 1","C","S1400",1,413490.757413962,4871559.56365687
77,2506,"110208065236","550th Ave","M","S1400",1,413490.757413962,4871559.56365687
78,795,"110208051185","Co Rd 144","C","S1400",1,398439.698633212,4857366.62137243
79,2395,"1106092772298","Co Rd 40","C","S1400",1,398732.552587782,4855757.51270811
80,3400,"1105061324790","100 St","M","S1400",1,398732.552587782,4855757.51270811
81,1890,"1102642263853","100th St","M","S1400",1,398732.552587782,4855757.51270811
82,1891,"1102514019825","Co Hwy 63","C","S1400",1,398732.552587782,4855757.51270811
83,3399,"110476417669","Co Rd 63","C","S1400",1,398732.552587782,4855757.51270811
84,3401,"110476449913","Co Hwy 40","C","S1400",1,398732.552587782,4855757.51270811
85,1797,"110208058230","105th St","M","S1400",1,398439.698633212,4857366.62137243
86,4299,"110208058269","111th St","M","S1400",1,398322.272171306,4858979.16142811
87,1985,"110208051015","State Hwy 60","S","S1200",1,390947.197905139,4881438.20426301
88,3994,"110208051016","State Hwy 60","S","S1200",1,390946.34064696,4881472.29092413
89,3397,"1106072564533","Co Rd 118","C","S1400",1,390368.80133192,4880832.45568195
90,1888,"1106087426652","Blue Earth Co Rd 118","M","S1400",1,390368.80133192,4880832.45568195
91,1535,"1106092823197","Co Rd 16","C","S1400",1,436965.249937384,4898763.69312553
92,2005,"1105061314509","243 St","M","S1400",1,436965.249937384,4898763.69312553
93,2289,"1104259619321","584th Ave","M","S1400",1,423842.29550983,4861775.42687499
94,3280,"110208051424","Co Rd 192","C","S1400",1,423842.29550983,4861775.42687499
95,2763,"110208051336","Co Rd 169","C","S1400",1,431139.931143037,4868536.23657656
96,3468,"110208067905","594th Ave","M","S1400",1,427219.721414756,4877748.89061831
97,3467,"110208051390","Co Rd 176","C","S1400",1,427219.721414756,4877748.89061831
98,2943,"110208051388","Co Rd 175","C","S1400",1,427219.721414756,4877748.89061831
99,3893,"110208067888","592nd Ave","M","S1400",1,426422.056030788,4879148.97981839
100,1475,"110208051391","Co Rd 177","C","S1400",1,425887.743962747,4879567.68713952
101,1535,"1106092823197","Co Rd 16","C","S1400",1,434314.957858294,4898784.22885494
102,1022,"1106087378952","243rd St","M","S1400",1,434314.957858294,4898784.22885494
103,2005,"1105061314509","243 St","M","S1400",1,434314.957858294,4898784.22885494
104,920,"1103470919747","499th St","M","S1400",1,398583.126564653,4892779.90173093
105,920,"1103470919747","499th St","M","S1400",1,398572.895163932,4892416.9194089
106,409,"1103470919719","T-393","M","S1400",1,398572.895163932,4892416.9194089
107,3905,"1105061311217","T-400","M","S1400",1,397360.619028649,4892379.23907146
108,4392,"1106087312432","472nd Ave","M","S1400",1,390425.231397262,4896757.86931139
109,3874,"110208077141","100th Ave","M","S1400",1,390425.231397262,4896757.86931139
110,1885,"110208076424","Co Hwy 47","C","S1400",1,390425.231397262,4896757.86931139
111,2869,"1105061269203","Blue Earth County Rd 104","M","S1400",1,390425.231397262,4896757.86931139
112,1797,"110208058230","105th St","M","S1400",1,392339.933245563,4857479.59360731
113,1800,"110208051193","Co Rd 145","C","S1400",1,391409.790585827,4855880.19399222
114,4295,"1102642247945","250th St","M","S1400",1,391409.790585827,4855880.19399222
115,3785,"1104259612322","481st Ave","M","S1400",1,392408.815729868,4857567.0780773
116,1577,"110208068009","610th Ave","M","S1400",1,432162.328664357,4890729.16996993
117,1899,"110208059545","137th St","M","S1400",1,423930.637344132,4866676.97497283
118,3885,"110208050457","Co Rd 4","C","S1400",1,425370.572706511,4868285.02048875
119,4052,"110208050794","Co Rd 23","C","S1400",1,437140.187257989,4885874.93069061
120,4047,"110208050709","Co Rd 17","C","S1400",1,436876.615363752,4890308.76778113
121,519,"110208050806","Co Rd 26","C","S1400",1,431812.555982601,4894916.11633989
122,519,"110208050806","Co Rd 26","C","S1400",1,432403.74958618,4894819.89429743
123,518,"110208064659","230th St","M","S1400",1,431812.555982601,4894916.11633989
124,1546,"110208081147",,,"S1400",1,432681.793380448,4894976.31589049
125,3994,"110208051016","State Hwy 60","S","S1200",1,406189.553436768,4887566.8840247
126,1985,"110208051015","State Hwy 60","S","S1200",1,406208.329346468,4887545.90249151
127,779,"1104781501993","T-549","M","S1400",1,427850.36498005,4861058.69985504
128,3770,"110208064530","211th Ln","M","S1400",1,426159.988943953,4889617.10493928
129,1749,"1103698908291","Twp Rd 353","O","S1400",1,424912.286400428,4889137.90658502
130,2562,"110208050773","State Hwy 22","S","S1200",1,424122.621710465,4889610.65436106
131,2770,"1106092755331","T-327","M","S1400",1,434335.263390663,4865666.03601517
132,878,"1105061342461","T-10","M","S1400",1,418451.322606809,4856306.89334682
133,2378,"110208058205","103rd Ln","M","S1400",1,418451.302518206,4856306.89345723
134,1785,"110208051307","Co Rd 155","C","S1400",1,426614.194921523,4857632.39904722
135,2402,"1104781501113","597th Ave","M","S1400",1,427826.493896848,4857945.84446319
136,3459,"110208051311","Co Rd 157","C","S1400",1,429446.114533257,4858022.35333684
137,963,"110208068004","608th Ave","M","S1400",1,431057.489559431,4858146.116618
138,2448,"110208051313","Co Rd 158","C","S1400",1,431057.489559431,4858146.116618
139,961,"110208067961","602nd Ave","M","S1400",1,429446.114533257,4858022.35333684
140,2400,"110208050775","State Hwy 22","S","S1200",1,429547.435640806,4858259.392639
141,1300,"110208051309","Co Rd 156","C","S1400",1,427826.493896848,4857945.84446319
142,1301,"1106087306050","593rd Ave","M","S1400",1,426614.194921523,4857632.39904722
143,1782,"110208058304","119th St","M","S1400",1,423854.286109648,4861078.53509273
144,3120,"110208064208","179th St","M","S1400",1,430457.01230027,4879393.02297894
145,2594,"110208050830","Co Rd 28","C","S1400",1,430457.01230027,4879393.02297894
146,2585,"1106087304592","T-137","M","S1400",1,430291.4419941,4879524.73431968
147,3867,"110208065009","515th Ave","M","S1400",1,403054.560593762,4872064.60461814
148,3452,"110208061642","153rd St","M","S1400",1,402854.319553439,4871779.42864604
149,2868,"110208051148","Co Rd 131","C","S1400",1,403054.560593762,4872064.60461814
150,3014,"11030538788869","243rd St","M","S1400",1,426327.855848166,4898924.75751738
151,962,"110208068042","615th Ave","M","S1400",1,433586.239894899,4874006.22842181
152,3994,"110208051016","State Hwy 60","S","S1200",1,399249.50135638,4883799.45674264
153,3422,"1105061318591","T-230","M","S1400",1,392152.677206297,4894415.06211116
154,915,"1102640653746","Co Rd 104","C","S1400",1,391834.07273191,4894527.2719298
155,2586,"110208067963","602nd Ave","M","S1400",1,428975.275397125,4878671.37080013
156,3104,"1105061315663","T-136","M","S1400",1,428975.275397125,4878671.37080013
157,3105,"1106087311654","177th St","M","S1400",1,428975.275397125,4878671.37080013
158,327,"1106087378505","W Co Line Rd","M","S1400",1,438333.523710646,4861366.91487046
159,2304,"1106087318411","A","M","S1400",1,395718.59587194,4855812.95960687
160,2770,"1106092755331","T-327","M","S1400",1,434367.295413963,4868674.06388143
161,893,"1105061320543","T-380","M","S1400",1,406333.235600032,4873329.95835074
162,2410,"110208051095","Co Rd 109","C","S1400",1,398496.117959755,4887408.03151437
163,950,"110208062615","158th St","M","S1400",1,406737.958195469,4873341.1643208
164,1006,"110208063575","164th St","M","S1400",1,406768.299502094,4874951.14786776
165,2865,"110208065080","526th Ave","M","S1400",1,406333.235600032,4873329.95835074
166,2588,"1103690954641","T-326","M","S1400",1,434421.59261874,4876447.30104197
167,3547,"110208051059","State Hwy 83","S","S1200",1,434708.724076921,4876457.57710047
168,2588,"1103690954641","T-326","M","S1400",1,434414.221950004,4875751.27811139
169,2110,"110208050991","Co Rd 49","C","S1400",1,434414.221950004,4875751.27811139
170,3595,"1106087407336","T-110","M","S1400",1,434398.981361077,4876265.17212424
171,2895,"110208064882","494th Ave","M","S1400",1,396939.993657152,4890892.0590865
172,2347,"110208058241","108th St","M","S1400",1,409987.411763955,4858023.39454397
173,2329,"110208051205","Co Rd 148","C","S1400",1,409987.411763955,4858023.39454397
174,3096,"1106087305841","Co Rd 19","C","S1400",1,411012.803945842,4860829.76733455
175,397,"110208050696","Co Rd 16","C","S1400",1,426398.822228766,4875873.01244778
176,3460,"110208068090","626th Ave","M","S1400",1,436739.193454549,4863701.77498398
177,452,"110208058025","T-50","M","S1400",1,437564.056888971,4863341.28355091
178,1944,"110208051321","Co Rd 161","C","S1400",1,436739.193454549,4863701.77498398
179,3914,"110208051093","Co Rd 108","C","S1400",1,396871.628722928,4887971.04247268
180,2903,"110208080372",,,"S1400",1,393634.539711458,4885894.52147323
181,1907,"1105061311110","T-181","M","S1400",1,393245.097194119,4884801.54011542
182,3547,"110208051059","State Hwy 83","S","S1200",1,429890.449519893,4882732.17568253
183,331,"110376909845","W County Line Rd","M","S1400",1,438477.729907777,4880407.07475473
184,3939,"1106087381132","Co Rd 14","C","S1400",1,438477.729907777,4880407.07475473
185,332,"1106087902803","W Co Line Rd","M","S1400",1,438477.729907777,4880407.07475473
186,618,"1104259735326","628th Ave","M","S1400",1,437674.134057663,4880498.39773561
187,3593,"110208067987","605th Ave","M","S1400",1,430421.252106378,4878248.47714949
188,2594,"110208050830","Co Rd 28","C","S1400",1,430421.252106378,4878248.47714949
189,44,"110208050834","Co Rd 28 S","C","S1400",1,430421.252106378,4878248.47714949
190,1114,"110208065184","542nd Ave","M","S1400",1,411012.803945842,4860829.76733455
191,3380,"1105061319096","T-33","M","S1400",1,412039.110139849,4861226.96157391
192,959,"1105061314105","631st Ave","M","S1400",1,438333.523710646,4861366.91487046
193,3939,"1106087381132","Co Rd 14","C","S1400",1,438333.523710646,4861366.91487046
194,1944,"110208051321","Co Rd 161","C","S1400",1,436724.556389359,4861079.78533239
195,447,"1106087311024","Co Rd 159","C","S1400",1,432265.470608718,4862594.68042122
196,1465,"110208058323","124th St","M","S1400",1,432265.470608718,4862594.68042122
197,2930,"1104259735253","620th Ave","M","S1400",1,435121.334605552,4862545.57104726
198,1945,"1104259801698","T-316","M","S1400",1,435121.334605552,4862545.57104726
199,448,"110208050637","Co Rd 14","C","S1400",1,433394.764011119,4864183.25882416
200,2107,"1103690954967","187th St","M","S1400",1,433431.490170763,4881895.12687385
201,2419,"110208051096","Co Rd 111","C","S1400",1,400088.180555398,4886450.15045294
202,1340,"110208051170","Co Rd 140","C","S1400",1,400501.779057062,4860601.3691223
203,2942,"1105061330784","T-160","M","S1400",1,427282.044357411,4884397.27278799
204,1481,"1106087400535","594th Ave","M","S1400",1,427282.044357411,4884397.27278799
205,2458,"110208067947","599th Ave","M","S1400",1,428876.07604021,4883459.82089916
206,507,"1105061302015","T-382","M","S1400",1,404655.887200871,4871840.3991362
207,3013,"11030538788818","Co Rd 2","C","S1400",1,426327.855848166,4898924.75751738
208,522,"1105061319355","243 St","M","S1400",1,426327.855848166,4898924.75751738
209,3014,"11030538788869","243rd St","M","S1400",1,425082.307540052,4898884.67223697
210,3013,"11030538788818","Co Rd 2","C","S1400",1,425082.307540052,4898884.67223697
211,3014,"11030538788869","243rd St","M","S1400",1,426639.110916878,4898916.0949814
212,3013,"11030538788818","Co Rd 2","C","S1400",1,426639.110916878,4898916.0949814
213,522,"1105061319355","243 St","M","S1400",1,426639.110916878,4898916.0949814
214,3280,"110208051424","Co Rd 192","C","S1400",1,423836.60411098,4861094.48760919
215,2759,"1104259749006","T-356","M","S1400",1,423836.60411098,4861094.48760919
216,948,"1106087868796","494th Ave","M","S1400",1,396714.872050834,4878926.76659715
217,1003,"1106087308753","Trl 103","M","S1400",1,398374.905729656,4879767.53548671
218,997,"1106087311010","Co Rd 20","C","S1400",1,401652.405700299,4881832.41955142
219,208,"110208068407","S Grove St","M","S1400",1,402928.860126904,4884460.58200672
220,2983,"1106087437226","Knights Ln","M","S1400",1,401652.405700299,4881832.41955142
221,3502,"1104780678990","510th Ave","M","S1400",1,401652.405700299,4881832.41955142
222,2491,"110208064205","179th St","M","S1400",1,400783.130925271,4879847.69599683
223,2490,"1103585198818","179 St","M","S1400",1,400783.130925271,4879847.69599683
224,1003,"1106087308753","Trl 103","M","S1400",1,400783.130925271,4879847.69599683
225,1603,"1103585196430","499 Ave","M","S1400",1,398374.905729656,4879767.53548671
226,1986,"1105061314257","T-104","M","S1400",1,398374.905729656,4879767.53548671
227,394,"110208050583","Co Rd 10","C","S1400",1,434401.423015247,4874660.0703786
228,450,"110208050634","Co Rd 14","C","S1400",1,433586.239894899,4874006.22842181
229,1908,"110208064908","499th Ave","M","S1400",1,398466.333244515,4885309.38777193
230,3899,"110208064383","195th St","M","S1400",1,397749.777491479,4884728.82551444
231,1415,"1103729837875","Co Rd 122","C","S1400",1,397749.777491479,4884728.82551444
232,2410,"110208051095","Co Rd 109","C","S1400",1,398466.333244515,4885309.38777193
233,404,"1105061334075","T-389","M","S1400",1,400070.877220868,4885167.18035412
234,4392,"1106087312432","472nd Ave","M","S1400",1,390408.383998977,4895676.96165223
235,3873,"1106092826881","Co Rd 104","C","S1400",1,390408.383998977,4895676.96165223
236,2870,"110208077139","100th Ave","M","S1400",1,390408.383998977,4895676.96165223
237,1886,"1105061270351","Blue Earth County Rd 104","M","S1400",1,390408.383998977,4895676.96165223
238,3437,"110208064679","232nd St","M","S1400",1,390765.962660983,4896155.21005598
239,1906,"110208064836","484th Ave","M","S1400",1,393679.069594467,4887753.86233053
240,408,"110208064793","478th Ave","M","S1400",1,392073.202721301,4887233.56580861
241,2899,"1105061319134","T-201","M","S1400",1,392486.16960313,4888620.87399383
242,3910,"110208051087","Co Rd 106","C","S1400",1,392486.16960313,4888620.87399383
243,3911,"110208064811","480th Ave","M","S1400",1,392486.16960313,4888620.87399383
244,1414,"110208050760","Co Rd 22","C","S1400",1,393057.465693153,4888040.17256245
245,2586,"110208067963","602nd Ave","M","S1400",1,429654.99049507,4880554.3636452
246,2938,"110208050679","Co Rd 15","C","S1400",1,429895.328133087,4881135.20439103
247,3104,"1105061315663","T-136","M","S1400",1,429654.99049507,4880554.3636452
248,4295,"1102642247945","250th St","M","S1400",1,395718.59587194,4855812.95960687
249,2303,"1105061342898","100th St","M","S1400",1,395718.59587194,4855812.95960687
250,1316,"110273004450","100 St","M","S1400",1,395718.59587194,4855812.95960687
251,1797,"110208058230","105th St","M","S1400",1,395940.36563858,4857413.39110982
252,2930,"1104259735253","620th Ave","M","S1400",1,435169.852960627,4869064.13475194
253,1792,"1106087305847","Co Rd 21","C","S1400",1,433557.75685493,4866623.28641696
254,445,"110208058735","132nd St","M","S1400",1,432831.852532063,4864984.45052629
255,962,"110208068042","615th Ave","M","S1400",1,433530.6925616,4866273.55304563
256,1945,"1104259801698","T-316","M","S1400",1,435131.881133411,4865383.21227944
257,2107,"1103690954967","187th St","M","S1400",1,434301.943567996,4881880.0688966
258,3068,"110208050992","Co Rd 49","C","S1400",1,434480.742580075,4881860.92960415
259,1527,"1106087311021","Co Rd 133","C","S1400",1,406768.299502094,4874951.14786776
260,1993,"110208050620","Co Rd 13","C","S1400",1,406768.319703987,4874951.14751283
261,889,"110208051151","Co Rd 132","C","S1400",1,406737.958195469,4873341.1643208
262,1908,"110208064908","499th Ave","M","S1400",1,398496.117959755,4887408.03151437
263,449,"110208058027","T-52","M","S1400",1,432617.900942752,4864197.6734192
264,1126,"1104259751038","T-314","M","S1400",1,436909.838807547,4883870.46268542
265,1430,"1105061333459","T-399","M","S1400",1,396939.993657152,4890892.0590865
266,2884,"1106087912600","206th St","M","S1400",1,396871.628722928,4887971.04247268
267,1633,"1103370178658","193rd St","M","S1400",1,433253.57002336,4883504.37725503
268,3276,"110208050842","Co Rd 29","C","S1400",1,423854.286109648,4861078.53509273
269,2293,"110208058281","113th St","M","S1400",1,424146.397876379,4859463.64346415
270,1889,"1103565340650","850 Th Ave","M","S1400",1,390368.80133192,4880832.45568195
271,3011,"110208064735","240th St","M","S1400",1,436752.792961203,4897965.01655042
272,3012,"1105061318163","T-307","M","S1400",1,436752.792961203,4897965.01655042
273,2889,"1106092825515","T-225","M","S1400",1,398582.003457222,4892783.87954452
274,1424,"1106087305203","222nd St","M","S1400",1,398582.003457222,4892783.87954452
275,409,"1103470919719","T-393","M","S1400",1,398583.126564653,4892779.90173093
276,393,"110208051325","Co Rd 164","C","S1400",1,423930.637344132,4866676.97497283
277,1965,"110208050655","US Hwy 14","U","S1200",1,436400.466248847,4888588.47736578
278,1511,"110208050654","US Hwy 14","U","S1200",1,436401.202514572,4888616.33867433
279,1580,"110208064437","200th St","M","S1400",1,437140.187257989,4885874.93069061
280,518,"110208064659","230th St","M","S1400",1,432403.74958618,4894819.89429743
281,3226,"11017129155316","Prairie Rose Dr","M","S1400",1,424595.572969649,4889472.52020312
282,569,"1103692473950","Victory Memorial Dr","M","S1200",1,424092.884466088,4889591.35125276
283,1625,"1103513994315","179th St","M","S1400",1,430291.4419941,4879524.73431968
284,2585,"1106087304592","T-137","M","S1400",1,430434.687883799,4879390.40774197
285,2487,"110208051397","Trl 180","M","S1400",1,399255.727782862,4884307.93839969
286,1130,"1106092773600","T-111","M","S1400",1,437674.134057663,4880498.39773561
287,1906,"110208064836","484th Ave","M","S1400",1,393654.418205263,4885883.55068583
288,3899,"110208064383","195th St","M","S1400",1,393245.097194119,4884801.54011542
289,1415,"1103729837875","Co Rd 122","C","S1400",1,393245.097194119,4884801.54011542
290,377,"110208075035","W Humphrey","M","S1400",1,395278.638195357,4887573.93157397
291,1872,"110208058305","119th St","M","S1400",1,412039.130487479,4861226.96125269
292,1942,"110208050638","Co Rd 14","C","S1400",1,433517.306905189,4864088.65265673
293,447,"1106087311024","Co Rd 159","C","S1400",1,434007.020010477,4863365.55586736
294,962,"110208068042","615th Ave","M","S1400",1,433517.306905189,4864088.65265673
295,3341,"110208064993","513th Ave","M","S1400",1,402083.709078759,4858618.2467764
296,2336,"1105061328263","T-188","M","S1400",1,402083.709078759,4858618.2467764
297,2337,"1105061335361","T-19","M","S1400",1,401891.866652568,4858911.89219774
298,261,"110208075033","E Humphrey St","M","S1400",1,402928.891380092,4884460.61290395
299,2596,"110208063574","164th St","M","S1400",1,434401.423015247,4874660.0703786
300,402,"1106087311035","489th Ave","M","S1400",1,395278.638195357,4887573.93157397
301,2884,"1106087912600","206th St","M","S1400",1,393057.465693153,4888040.17256245
302,1945,"1104259801698","T-316","M","S1400",1,435169.852960627,4869064.13475194
303,1792,"1106087305847","Co Rd 21","C","S1400",1,433530.692688169,4866273.57304615
304,450,"110208050634","Co Rd 14","C","S1400",1,433530.6925616,4866273.55304563
305,2930,"1104259735253","620th Ave","M","S1400",1,435131.881133411,4865383.21227944
306,3070,"1103690954697","618th Ave","M","S1400",1,434480.742580075,4881860.92960415
307,2754,"110208051306","Co Rd 154","C","S1400",1,424146.397876379,4859463.64346415
308,2053,"110208064483","206th St","M","S1400",1,436349.198656574,4887500.97999364
309,3549,"110208064553","215th St","M","S1400",1,436876.615363752,4890308.76778113
310,573,"1104781515193","Victory Memorial Dr","M","S1200",1,424122.621710465,4889610.65436106
311,3500,"1106087311656","194th St","M","S1400",1,399255.727782862,4884307.93839969
312,1946,"110208058349","127th St","M","S1400",1,434006.998649956,4863365.55597605
313,293,"110208070809","E Prince St","M","S1400",1,402865.215073847,4884352.1324346
314,2047,"110208075959","Edge Water Rd","M","S1400",1,402705.007079305,4883851.8131776
315,2054,"110208050827","Co Rd 28","C","S1400",1,436349.198656574,4887500.97999364
316,258,"1103944256272","E Blue Earth St","M","S1400",1,402808.247596026,4884248.38241954
317,1000,"110208050535","Co Rd 9","C","S1400",1,402705.027693718,4883851.81309756
318,294,"110208075346","E Watonwan St","M","S1400",1,402777.971362046,4884136.50759728
