cat,lcat,along
168,324,497.26773459469
169,328,1606.18970208478
170,339,301.109802389038
171,340,0.526283726241401
172,341,2678.56198398211
173,344,702.226980621286
174,347,307.010022781944
175,349,3047.282572582
176,351,821.485501791481
177,356,98.4022661633651
178,358,23.3027743764081
179,361,1574.56819299274
180,365,423.487407677004
181,367,4546.81915899922
182,369,45.6248226307569
183,377,2164.88701596289
184,383,121.871433626507
185,384,1.20403186325689
186,387,612.235238964852
187,393,8026.45164960282
188,398,4557.57570809292
189,400,5703.20502498457
190,403,97.6012689711482
191,404,58.8243150403101
192,406,3134.43383737055
193,408,5287.49892999668
194,410,606.06899635541
195,412,830.831816350725
196,414,1999.24140660503
197,415,730.906059236654
198,416,2313.3461825588
199,417,293.320777930014
200,419,1565.22596805338
201,420,4924.62074689769
202,421,611.612383881293
203,426,5270.66664690086
204,428,1579.54861522398
205,432,7225.19543272686
206,434,1157.98427657088
207,436,1.02099363694338
208,437,2667.73997632044
209,438,688.379812966378
210,444,0.910873700533689
211,451,2289.76670272909
212,454,1464.4850379192
213,455,3837.87574895594
214,456,4772.18405082965
215,458,2133.3011387439
216,464,1713.6462760073
217,467,10135.4134884438
218,469,2375.67897646881
219,471,10964.8399108231
220,473,2680.771542495
221,475,3708.1566329992
222,476,30.3234885415107
223,477,2023.13028842193
224,483,8037.14903231161
225,485,5092.66453991309
226,489,7102.89084872756
227,493,2196.86558760012
228,497,4178.8255788389
229,498,5636.99360503384
230,503,20844.7359943326
231,507,617.37507207199
232,509,2127.44974197708
233,510,664.673824785429
234,514,305.869419858439
235,516,1.26063370284409
236,517,1601.98779558391
237,519,2553.16993547931
238,525,231.466566211518
239,527,787.357669538193
240,532,2.29218135666033
241,534,73.6789821869745
242,538,414.484751933555
243,539,305.949403165771
244,542,1648.64239423033
245,545,5852.58856170111
246,547,1.94177737936618
247,549,1756.52189604703
248,550,0.0766691954581512
249,551,0.0799109295090182
250,553,1603.10674122406
251,554,4805.99755852987
252,557,1511.78601772136
253,559,1609.69185011916
254,562,3683.66834771473
255,564,4622.23541817234
256,566,512.50776427572
257,567,1018.377894527
258,571,792.214204373094
259,574,785.561676426226
260,577,7674.8277179279
261,578,9306.45431562494
262,579,6252.38885091147
263,581,22084.8952487736
264,583,4107.37061878546
265,585,1517.68561254963
266,587,1614.05796068251
267,591,2089.02729202236
268,592,931.399070316099
269,593,3133.90189337589
270,594,4920.68619683886
271,596,4937.94469922845
272,597,2705.69350092245
273,600,3192.85003046102
274,602,1616.9623530341
275,605,1199.994662634
276,607,29.1549072456487
277,611,1.11069889604225
278,614,8136.35172527875
279,616,1005.51035576507
280,622,160.815354040824
281,624,7870.23888214105
282,625,10300.3206078609
283,626,2225.01528821545
284,627,12246.6790633178
285,631,1659.52233795029
286,632,6413.19048968583
287,637,11622.1753698823
288,639,608.896732044985
289,643,2360.33034107841
290,648,4330.16195011063
291,652,936.82529617035
292,656,39.8837093278958
293,660,13976.7145577168
294,662,60.391842678823
295,663,610.521939289718
296,664,1702.88218098947
297,666,9348.24099617548
298,668,3662.50021511677
299,672,113.978050348581
300,673,4109.79964305741
