cat,lcat,along,elev
132,66,49.7428525999555,
133,67,0,
134,67,57.6782829073737,
135,68,0,
136,68,49.6833948692241,
137,69,0,
138,69,49.6869661563406,
139,70,0,
140,70,50.3675663528264,
141,71,0,
142,71,49.6785593974394,
143,72,0,
144,72,49.669760975147,
145,73,0,
146,73,49.6554539586857,
147,74,0,
148,74,49.6732085868701,
149,75,0,
150,75,49.6771513704819,
151,76,0,
152,76,49.6773918313165,
153,77,0,
154,77,49.6723030984626,
155,78,0,
156,78,49.6687505818167,
157,79,0,
158,79,49.6513927962929,
159,80,0,
160,80,49.66746418746,
161,81,0,
162,81,49.6603351564632,
163,82,0,
164,82,49.6646082756297,
165,83,0,
166,83,49.6336058802862,
167,84,0,
168,84,49.6729286347376,
169,85,0,
170,85,49.7183282152566,
171,86,0,
172,86,49.7684403968725,
173,87,0,
174,87,50.0047084605038,
175,88,0,
176,88,55.6168610076887,
177,89,0,
178,89,50.2105599730209,
179,90,0,
180,90,49.6702098238486,
181,91,0,
182,91,49.6645379309695,
183,92,0,
184,92,49.6781609210979,
185,93,0,
186,93,49.6705537058263,
187,94,0,
188,94,49.7011469247423,
189,95,0,
190,95,63.6799563260126,
191,96,0,
192,96,49.6751755136929,
193,97,0,
194,97,62.6353817435518,
195,98,0,
196,98,31.6273291149266,
197,99,0,
198,99,52.7447147151694,
199,100,0,276.3355
200,100,49.6937546500695,276.3877
201,101,0,276.7179
202,101,49.690206856192,276.8766
203,102,0,275.5924
204,102,49.6564940586854,275.7076
205,103,0,277.0718
206,103,49.7877500950017,277.1856
207,104,0,
208,104,49.6499547558144,
209,105,0,
210,105,49.6239848096192,
211,106,0,
212,106,49.6500583505745,
213,107,0,
214,107,49.8077201701305,
215,108,0,
216,108,49.6063758865643,
217,109,0,274.6201
218,109,49.6601231112117,275.0239
219,110,0,274.0507
220,110,49.6880252504373,273.9796
221,111,0,274.7708
222,111,49.6615141643179,274.9193
223,112,0,274.5654
224,112,49.6639906807486,274.221
225,113,0,274.5608
226,113,49.6587435526895,274.526
227,114,0,274.9954
228,114,49.6672089418552,275.0511
229,115,0,275.3298
230,115,49.7461207184666,275.1775
231,116,0,273.5906
232,116,49.6704262537907,273.7387
233,117,0,274.7844
234,117,59.4526011470117,275.4223
235,118,0,275.2612
236,118,49.7032341087818,275.0719
237,119,0,
238,119,49.6844353216072,
239,120,0,
240,120,50.1829641511687,
241,121,0,
242,121,49.7065701102982,
243,122,0,
244,122,49.804040209426,
245,123,0,
246,123,25.8232902557714,
247,124,0,
248,124,49.6659048852449,
249,125,0,
250,125,49.740246347728,
251,126,0,
252,126,49.6898841407209,
253,127,0,
254,127,49.8930958958618,
255,128,0,
256,128,49.6979088314666,
257,129,0,
258,129,49.7164332483647,
259,130,0,
260,130,49.6846449087147,
261,131,0,
262,131,49.6896183509189,
263,132,0,
264,132,49.6595652898312,
265,133,0,
266,133,49.8626364008687,
267,134,0,
268,134,50.5355431200683,
269,135,0,
270,135,49.6581335803245,
271,136,0,
272,136,49.6732316070726,
273,137,0,
274,137,49.6679072666644,
275,138,0,
276,138,49.9794338866494,
277,139,0,
278,139,49.6170751269721,
279,140,0,
280,140,54.2455548620692,
281,141,0,
282,141,49.668545438419,
283,142,0,
284,142,49.6625528413831,
285,143,0,
286,143,49.6693120792471,
287,144,0,
288,144,49.6934110668548,
289,145,0,
290,145,49.6477996361872,
291,146,0,
292,146,49.699590480922,
293,147,0,
294,147,49.6954505765094,
295,148,0,
296,148,49.6891989537713,
297,149,0,
298,149,49.7214373762984,
299,150,0,
300,150,49.7050983648748,
