from_cat,to_x,to_y,cat
3,234309.05972344,5192545.19557351,3
3,234309.05972344,5192545.19557351,3
3,234309.059723441,5192545.19557351,3
3,234309.05972344,5192545.19557351,3
3,234309.05972344,5192545.19557351,3
3,234309.05972344,5192545.19557351,3
3,234309.05972344,5192545.19557351,3
3,234309.05972344,5192545.19557351,3
3,234309.059723441,5192545.19557351,3
3,234309.059723441,5192545.19557351,3
3,234309.05972344,5192545.19557351,3
3,234309.05972344,5192545.19557351,3
3,234309.059723441,5192545.19557351,3
3,234309.05972344,5192545.19557351,3
3,234309.05972344,5192545.19557351,3
3,234309.05972344,5192545.19557351,3
3,234309.05972344,5192545.19557351,3
3,234309.05972344,5192545.19557351,3
3,234309.05972344,5192545.19557351,3
3,224260.2108,5193246.565,3
3,234309.05972344,5192545.19557351,3
3,234309.05972344,5192545.19557351,3
3,234309.05972344,5192545.19557351,3
3,234309.05972344,5192545.19557351,3
3,234309.05972344,5192545.19557351,3
3,234309.05972344,5192545.19557351,3
3,234309.05972344,5192545.19557351,3
3,234309.05972344,5192545.19557351,3
3,234309.059723441,5192545.19557351,3
3,234309.059723441,5192545.19557351,3
3,234309.05972344,5192545.19557351,3
3,234309.059723441,5192545.19557351,3
3,234309.05972344,5192545.19557351,3
3,234309.05972344,5192545.19557351,3
3,234309.05972344,5192545.19557351,3
3,234309.05972344,5192545.19557351,3
4,251912.263,5201949.3563,4
4,251912.260009974,5201949.35629196,4
4,250325.276654966,5200001.35969673,4
4,250325.276654966,5200001.35969673,4
4,250325.276654966,5200001.35969673,4
4,250325.276654966,5200001.35969673,4
4,250325.276654966,5200001.35969673,4
4,251912.260009974,5201949.35629196,4
4,251912.260009974,5201949.35629196,4
4,251912.260009974,5201949.35629196,4
4,250325.276654966,5200001.35969673,4
4,250325.276654966,5200001.35969673,4
4,250325.276654966,5200001.35969673,4
4,251912.260009974,5201949.35629196,4
4,251912.260009974,5201949.35629196,4
4,251912.260009974,5201949.35629196,4
4,250325.276654966,5200001.35969673,4
4,250325.276654966,5200001.35969673,4
4,250325.276654966,5200001.35969673,4
4,250325.276654966,5200001.35969673,4
4,250325.276654966,5200001.35969673,4
4,250325.276654966,5200001.35969673,4
4,250325.276654966,5200001.35969673,4
4,250325.276654966,5200001.35969673,4
4,250325.276654966,5200001.35969673,4
4,250325.276654966,5200001.35969673,4
4,251912.260009974,5201949.35629196,4
4,250325.276654966,5200001.35969673,4
4,250325.276654966,5200001.35969673,4
4,250325.276654966,5200001.35969673,4
4,250325.276654966,5200001.35969673,4
4,250325.276654966,5200001.35969673,4
4,250325.276654966,5200001.35969673,4
5,235562.6064,5181208.3572,5
5,235562.6064,5181208.3572,5
5,235562.6064,5181208.3572,5
5,235562.6064,5181208.3572,5
5,235562.6064,5181208.3572,5
5,235562.6064,5181208.3572,5
5,235562.6064,5181208.3572,5
5,231561.358806895,5180589.24134085,5
5,235562.6064,5181208.3572,5
5,231561.358806894,5180589.24134085,5
5,231561.358806895,5180589.24134085,5
5,231561.358806895,5180589.24134085,5
5,231561.358806895,5180589.24134085,5
5,235562.6064,5181208.3572,5
5,235562.6064,5181208.3572,5
5,235562.6064,5181208.3572,5
5,231561.358806895,5180589.24134085,5
5,231561.3573,5180589.24,5
5,231561.358806895,5180589.24134085,5
5,231561.358806895,5180589.24134085,5
5,231561.358806894,5180589.24134085,5
5,231561.358806895,5180589.24134085,5
5,235562.6064,5181208.3572,5
5,231561.358806894,5180589.24134085,5
5,231561.358806895,5180589.24134085,5
