lcat,x,y,across,x1,y1,cos,sin,culvert,along
217.0,240131.12684742958,5156832.855122158,9.0,240130.9015023162,5156823.857943735,0.025038345929281617,0.9996864914727644,0.0,5860.0
217.0,240141.1233266681,5156832.604748278,9.0,240140.89798155497,5156823.607569855,0.025038345904512316,0.9996864914733848,0.0,5870.0
217.0,240151.11980590608,5156832.3543743985,9.0,240150.89446079294,5156823.357195975,0.025038345903783794,0.9996864914734032,0.0,5880.0
217.0,240161.11628514458,5156832.104000518,9.0,240160.8909400312,5156823.106822095,0.025038345929281617,0.9996864914727644,0.0,5890.0
217.0,240171.11276438308,5156831.853626639,9.0,240170.88741926994,5156822.856448215,0.025038345903783794,0.9996864914734032,0.0,5900.0
217.0,240181.10924362112,5156831.603252758,9.0,240180.88389850798,5156822.606074335,0.025038345903783794,0.9996864914734032,0.0,5910.0
217.0,240191.10572285956,5156831.352878878,9.0,240190.88037774622,5156822.355700455,0.025038345928553318,0.9996864914727828,0.0,5920.0
217.0,240201.10220209812,5156831.102504998,9.0,240200.87685698498,5156822.105326575,0.025038345903783794,0.9996864914734032,0.0,5930.0
217.0,240211.0986813361,5156830.852131118,9.0,240210.87333622295,5156821.854952695,0.025038345903783794,0.9996864914734032,0.0,5940.0
217.0,240221.09516057454,5156830.601757239,9.0,240220.8698154612,5156821.604578815,0.025038345928553318,0.9996864914727828,0.0,5950.0
217.0,240231.0916398131,5156830.351383358,9.0,240230.86629469995,5156821.354204935,0.025038345903783794,0.9996864914734032,0.0,5960.0
217.0,240241.08811904088,5156830.101009475,9.0,240240.8627738356,5156821.103831054,0.025038356142304607,0.9996864912169671,0.0,5970.0
217.0,240251.08459828957,5156829.850635598,9.0,240250.85925317623,5156820.853457175,0.025038345928553318,0.9996864914727828,0.0,5980.0
217.0,240261.08107752813,5156829.600261718,9.0,240260.855732415,5156820.603083295,0.025038345903783794,0.9996864914734032,0.0,5990.0
217.0,240271.06037465157,5156829.341933808,9.0,240270.68295985475,5156820.349850731,0.04193497742528477,0.9991203419350148,0.0,6000.0
217.0,240281.05119260334,5156828.922600163,9.0,240280.6737777145,5156819.93051709,0.0419349876509928,0.9991203415058223,0.0,6010.0
