cat,lcat,along,elev
66,75,64.9729445286917,375.7292
67,75,65.9725282906716,375.7292
68,75,66.9721120526515,375.7261
69,75,67.9716958146313,375.7027
70,75,68.9712795766112,375.6936
71,75,69.9708633385911,375.6826
72,75,70.970447100571,375.6722
73,75,71.9700308625508,375.6635
74,75,72.9696146245307,375.6571
75,75,73.9691983865106,375.6602
76,75,74.9687821484904,375.6561
77,75,75.9683659104703,375.6516
78,75,76.9679496724502,375.6464
79,75,77.9675334344301,375.6477
80,75,78.9671171964099,375.6641
81,75,79.9667009583898,375.6733
82,75,80.9662847203697,375.6822
83,75,81.9658684823495,375.6902
84,75,82.9654522443294,375.7033
85,75,83.9650360063093,375.7067
86,75,84.9646197682892,375.7162
87,75,85.964203530269,375.7538
88,75,86.9637872922489,375.7631
89,75,87.9633710542288,375.7318
90,75,88.9629548162087,375.7075
91,75,89.9625385781885,375.6537
92,75,90.9621223401684,375.6459
93,75,91.9617061021483,375.6443
94,75,92.9612898641281,375.644
95,75,93.960873626108,375.6407
96,75,94.9604573880879,375.6566
97,75,95.9600411500678,375.6566
98,75,96.9596249120476,375.6816
99,75,97.9592086740275,375.6885
100,75,98.9587924360074,375.6667
101,75,99.9583761979872,375.6549
102,75,100.957959959967,375.6396
103,75,101.957543721947,375.6443
104,75,102.957127483927,375.6676
105,75,103.956711245907,375.7068
106,75,104.956295007887,375.7019
107,75,105.955878769866,375.6857
108,75,106.955462531846,375.6731
109,75,107.955046293826,375.6653
110,75,108.954630055806,375.6685
111,75,109.954213817786,375.6685
112,75,110.953797579766,375.7
113,75,111.953381341746,375.6871
114,75,112.952965103726,375.6805
115,75,113.952548865705,375.6722
116,75,114.952132627685,375.6646
117,75,115.951716389665,375.6601
118,75,116.951300151645,375.659
119,75,117.950883913625,375.6649
120,75,118.950467675605,375.6621
121,75,119.950051437585,375.6598
122,75,120.949635199565,375.6512
123,75,121.949218961544,375.654
124,75,122.948802723524,375.6733
125,75,123.948386485504,375.6734
126,75,124.947970247484,375.6448
127,75,125.947554009464,375.6642
128,75,126.947137771444,375.6821
129,75,127.946721533424,375.6997
130,75,128.946305295404,375.6997
131,75,129.945889057383,375.6698
132,75,130.945472819363,375.6456
