cat,lcat,along,elev,x,y
149,27,147.995249823909,274.386302929688,215304.379419781,5197821.92238593
150,27,148.995217728125,274.405762207031,215304.328658474,5197820.92386184
151,27,149.995185632341,274.437016113281,215304.361367082,5197819.92442902
152,27,150.995153536556,274.443359912109,215304.39407569,5197818.9249962
153,27,151.995121440772,274.443062255859,215304.426784298,5197817.92556339
154,27,152.995089344988,274.445052832031,215304.459492907,5197816.92613057
155,27,153.995057249203,274.436160351563,215304.443547367,5197815.97382844
156,27,154.995025153419,274.436160351563,215304.021692103,5197815.36367791
157,27,155.994993057634,274.226814990234,215303.967232397,5197814.36519409
158,27,156.99496096185,274.2170109375,215303.912772695,5197813.36671026
159,27,157.994928866066,274.224247705078,215303.858312977,5197812.36822644
160,27,158.994896770281,274.252599462891,215303.837167829,5197811.3688348
161,27,159.994864674497,274.275742236328,215303.837170546,5197810.3688669
162,27,160.994832578712,274.253157568359,215303.700709429,5197809.47866609
163,27,161.994800482928,274.257082910156,215303.646249731,5197808.48018226
164,27,162.994768387144,274.285230029297,215303.591790026,5197807.48169844
165,27,163.994736291359,274.318362890625,215303.537330313,5197806.48321461
166,27,164.994704195575,274.338808154297,215303.482870609,5197805.48473078
167,27,165.99467209979,274.346751855469,215303.428410914,5197804.48624696
168,27,166.994640004006,274.367569189453,215303.426693614,5197803.48763841
169,27,167.994607908222,274.39649765625,215303.47643041,5197802.48890819
170,27,168.994575812437,274.433202392578,215303.526167206,5197801.49017796
171,27,169.994543716653,274.452252392578,215303.575904003,5197800.49144774
172,27,170.994511620868,274.474762646484,215303.625640799,5197799.49271751
173,27,171.994479525084,274.450503662109,215303.675377596,5197798.49398729
174,27,172.9944474293,274.430672314453,215303.725114392,5197797.49525707
175,27,173.994415333515,274.475990478516,215303.774851189,5197796.49652684
176,27,174.994383237731,274.480994824219,215303.824587985,5197795.49779662
177,27,175.994351141946,274.484287646484,215303.874324782,5197794.49906639
178,27,176.994319046162,274.501830761719,215303.924061578,5197793.50033617
179,27,177.994286950378,274.519504101563,215303.973798375,5197792.50160595
180,27,178.994254854593,274.812118798828,215304.023535171,5197791.50287572
181,27,179.994222758809,274.814034960938,215304.073271968,5197790.5041455
182,27,180.994190663024,274.795989550781,215304.123008764,5197789.50541527
