cat,a_cat,b_cat,to_x,to_y
97,3923,1,266828.439072021,5201126.16736167
98,1576,1,266839.82188339,5202436.54987798
99,1442,1,210670.891537468,5212857.97129403
100,1469,1,209926.894558665,5213883.84667326
101,1397,1,211394.060399641,5210761.60456068
102,1779,1,211606.992353927,5211199.40059416
103,1397,1,211437.652867827,5211815.29018112
104,1397,1,211433.789440281,5211726.6501691
105,444,1,213753.861538892,5201716.9175651
106,2626,1,213935.790056879,5201266.17648099
107,2626,1,213942.260495938,5201207.40120866
108,108,1,214690.634211964,5212676.42080875
109,487,1,216024.436763584,5180451.19983384
110,2292,1,222974.741820902,5159180.29552319
111,1081,1,223828.592886387,5189812.01001231
112,1931,1,225421.630554716,5142937.01583707
113,1942,1,228335.313096409,5134697.43852804
114,519,1,226866.75198831,5170286.77121616
115,1937,1,229712.449609579,5184722.40019375
116,551,1,229961.539131193,5155634.3117765
117,980,1,228362.705400796,5162175.59155677
118,2272,1,230181.478622086,5157237.50581332
119,131,1,234705.631840257,5202149.89158642
120,272,1,229923.239422738,5202418.40625619
121,338,1,234097.958016494,5128832.98391938
122,1302,1,233484.954139789,5128027.49377231
123,2274,1,234258.77704434,5158671.65352042
124,2274,1,235409.074367398,5158612.85103587
125,1847,1,237333.620398517,5158526.09261369
126,1478,1,235407.008262577,5126350.87181134
127,1150,1,222356.153704939,5147943.27203645
128,3922,1,266513.535993274,5204066.36187446
129,899,1,272755.79058587,5201288.54994835
130,4204,1,273012.890279415,5213429.44839802
131,247,1,219817.238530215,5218910.19008123
132,234,1,224578.581587502,5218707.1947436
133,3683,1,226174.116460501,5218629.64325726
134,1159,1,240548.246956475,5164891.00531621
135,1095,1,243361.693019994,5129219.27545131
136,1144,1,234911.878599193,5138456.94617919
137,871,1,233272.888168553,5137760.29134513
138,789,1,226848.574932487,5138030.5176555
139,1193,1,235744.65437467,5129575.60382851
140,2484,1,230122.39881592,5207199.72089839
141,1793,1,222183.012639446,5209076.55760256
142,2336,1,222583.7292518,5209058.1334545
143,2993,1,226472.033821187,5189703.55901172
144,2751,1,226182.445594643,5189710.72314226
145,3648,1,273903.481255499,5214591.99652434
146,1453,1,211698.518551914,5217658.78581273
147,810,1,220748.979591168,5167380.27006279
148,1222,1,220092.43692565,5169012.76467782
149,3091,1,211617.053553741,5216048.7040814
150,595,1,211267.364105014,5181317.2777066
151,993,1,212801.610224124,5180537.09546203
152,2030,1,217388.830342806,5175547.18409401
153,1688,1,214624.444893032,5199802.27621906
154,3623,1,214623.74054967,5211153.44111614
155,2498,1,216594.046490371,5219060.81469565
156,1694,1,215794.528530993,5219162.26909237
157,2336,1,222975.89346758,5218779.6913974
158,1062,1,223927.088574065,5177091.75682795
159,2436,1,227771.652337722,5176728.51836754
160,1639,1,227174.842982442,5177439.81659741
161,2700,1,225547.463277296,5177301.14763454
162,391,1,227993.353461156,5131487.25992933
163,675,1,230965.084208946,5189501.00578295
164,2984,1,229392.712106972,5189589.83686926
165,14,1,233329.234680128,5207076.03913876
166,682,1,236302.532638663,5166649.88082814
167,1525,1,237683.753200519,5166587.78828141
168,1734,1,240622.944116056,5166510.36466325
169,1459,1,243061.913040505,5166397.28554331
170,3922,1,269562.924527455,5203953.03976737
171,2180,1,268103.543333994,5204766.34271073
172,3922,1,270036.050770986,5203903.45439303
173,4414,1,272865.027677656,5205428.28814203
174,1576,1,273621.638820317,5202197.83577178
175,899,1,272870.486136254,5204947.09714287
176,1688,1,214617.699206731,5199606.64870168
177,3237,1,215319.697375638,5198218.63825879
178,487,1,215675.557213272,5173228.14509931
179,1063,1,220532.030186391,5173001.62561755
180,581,1,229865.432577456,5133021.46905209
181,1421,1,236310.171295524,5132743.1701261
182,1820,1,234701.964738604,5132811.40255779
183,1139,1,231469.710332077,5132953.35234401
184,499,1,223869.931830843,5144699.87701759
185,2320,1,222597.605336042,5144674.0602361
186,2320,1,222348.499177895,5144686.66111621
187,1997,1,231168.839287318,5145867.75827451
188,1140,1,231576.699927477,5134582.54035823
189,1715,1,233198.7913292,5136091.68813377
190,2336,1,222666.509089499,5210649.63696746
191,1355,1,233191.112047161,5136107.43437197
192,370,1,247640.606002116,5139059.11276282
193,3648,1,273966.81146025,5216490.69593883
194,902,1,272786.600289432,5192826.15234192
195,4377,1,272639.487764958,5191761.04662494
196,1476,1,273963.332489721,5192256.42537617
197,2663,1,274518.614544952,5190068.29780816
198,2092,1,273879.399867638,5190686.92303084
199,908,1,275374.607390517,5188773.98801382
200,2118,1,240093.021735536,5165010.92657327
201,899,1,272880.503841182,5205440.80231931
202,4620,1,291997.156112031,5203921.74629319
203,4072,1,292376.073492045,5202710.63207195
204,1751,1,292543.453346665,5201898.91227504
205,1751,1,292265.074794954,5199875.60701231
206,4073,1,294230.286759022,5199892.96677331
207,3237,1,220173.470241139,5198000.86441466
208,2751,1,226315.317624555,5192930.78202972
209,3295,1,224705.927823799,5192993.26264179
210,250,1,251870.178383182,5201949.23309941
211,249,1,251870.178383182,5201949.23309941
212,3627,1,211481.512037133,5212821.40903488
213,1773,1,211156.673434763,5212835.99559414
214,111,1,220305.567355666,5201212.71340157
215,487,1,215943.050829829,5178847.39323808
216,485,1,212721.515443101,5178981.47394677
217,2336,1,222733.754705826,5212250.49196413
218,392,1,217923.592376743,5212492.43793513
219,995,1,214253.02656609,5177323.07395415
220,3484,1,225218.949285244,5191363.17654138
221,3483,1,225218.949285244,5191363.17654138
222,2751,1,226246.599755722,5191320.02155739
223,2124,1,234993.893930974,5161855.63553554
224,980,1,234993.913961037,5161855.63458058
225,1000,1,218236.299126562,5191868.72053319
226,1190,1,216612.065456381,5194320.31726756
227,1350,1,218170.187021791,5198501.43083247
228,482,1,234428.925104356,5194973.50198358
229,579,1,228612.667345688,5172650.06457889
230,2705,1,230230.364436754,5172572.80452664
231,1148,1,226975.124946963,5141247.86166208
232,2284,1,231787.32981507,5141015.08310129
233,106,1,228010.149495244,5141204.26816523
234,1931,1,225387.148291415,5142063.06772648
235,866,1,221464.156307939,5159235.3059056
236,902,1,219582.159296533,5159340.77900647
237,534,1,243435.192794734,5125968.85144089
238,1968,1,243362.73867871,5124354.76556716
239,536,1,243435.212770184,5125968.85044437
240,1530,1,234414.654876072,5165919.44278788
241,1302,1,230839.343809608,5128129.57492242
242,1660,1,224461.395984238,5159099.21645988
243,804,1,222918.859015772,5161333.58769772
244,1910,1,231016.889534735,5183850.71795657
245,3483,1,231044.961626193,5183849.61718778
246,3521,1,230902.947491672,5183855.16586068
247,2329,1,228533.221918962,5207314.00792327
248,31,1,228522.632908087,5207320.27836501
249,2484,1,230412.867083236,5208714.34857285
250,3178,1,231789.963355925,5208648.30596911
251,30,1,223817.102761658,5209002.3973089
252,3295,1,225403.307903589,5208933.16249973
253,4414,1,295941.046918005,5203807.40021335
254,1227,1,239330.531872122,5132602.94430319
255,967,1,239330.531872122,5132602.94430319
256,893,1,213155.219472029,5186957.46969067
257,1783,1,217974.760782876,5186834.20236637
258,779,1,219583.875757851,5186765.35555768
259,2779,1,210250.472704784,5216071.53683069
260,1453,1,211780.283767571,5219256.10856176
261,1948,1,219430.559660971,5189975.20251065
262,893,1,213328.664144519,5190226.92979282
263,1092,1,211717.30278893,5190289.52008507
264,486,1,217701.122876058,5181997.49570837
265,995,1,214595.179772479,5183708.43621686
266,893,1,213055.506270765,5185360.63439207
267,995,1,214659.360075578,5185319.88078161
268,1688,1,213230.374371089,5215982.22420611
269,1780,1,214415.45976916,5204672.4489981
270,162,1,214415.45976916,5204672.4489981
271,640,1,216104.74774659,5197975.31193346
272,247,1,219599.641733643,5214036.97468405
