cat,along,x,y
88,49.9999999992975,225444.715966032,5130628.62070063
89,69.9999999992671,225424.735649692,5130629.5078077
90,99.9999999985949,225426.066310292,5130659.47828221
91,0,243009.364902798,5142174.36970553
92,19.9999999999919,243029.359417705,5142173.90133214
93,50.0000000007416,243028.656857612,5142143.90955978
94,70.0000000007335,243008.662342705,5142144.37793317
95,100.000000001483,243009.364902798,5142174.36970553
96,0,221684.690074203,5147993.7143387
97,19.999999999495,221685.27170871,5147973.72279796
98,49.9999999994938,221655.284397595,5147972.8503462
99,69.9999999989888,221654.702763088,5147992.84188694
100,99.9999999989876,221684.690074203,5147993.7143387
101,0,241675.563650825,5150331.69465289
102,20.0000000002846,241659.090338942,5150320.35313643
103,50.0000000004833,241642.078064254,5150345.06310425
104,70.0000000007679,241658.551376137,5150356.40462071
105,100.000000000967,241675.563650825,5150331.69465289
106,0,241652.725468667,5150293.6324262
107,19.9999999999689,241661.361235483,5150275.592927
108,49.9999999996495,241634.301986679,5150262.63927678
109,69.9999999996184,241625.666219863,5150280.67877598
110,99.999999999299,241652.725468667,5150293.6324262
111,0,241662.304798261,5150321.67477048
112,20.0000000000129,241682.285778232,5150320.80273871
113,49.9999999992749,241680.97773058,5150290.83126875
114,69.9999999992878,241660.996750609,5150291.70330052
115,99.9999999985498,241662.304798261,5150321.67477048
116,0,241132.827525762,5135765.14307008
117,20.0000000000399,241112.850403118,5135764.18673808
118,49.9999999998988,241111.415905122,5135794.15242205
119,69.9999999999388,241131.393027766,5135795.10875405
120,99.9999999997976,241132.827525762,5135765.14307008
121,0,222985.039975175,5136536.97003566
122,19.9999999999626,222965.05122799,5136536.29922571
123,49.9999999997188,222964.045013066,5136566.28234649
124,69.9999999996814,222984.033760251,5136566.95315644
125,99.9999999994375,222985.039975175,5136536.97003566
126,0,236634.245951955,5139214.98866418
127,19.9999999997793,236652.31251245,5139206.40965539
128,49.9999999996441,236639.443999262,5139179.30981464
129,69.9999999994234,236621.377438767,5139187.88882343
130,99.9999999992882,236634.245951955,5139214.98866418
131,0,236642.622914201,5139230.32529448
132,19.9999999995357,236627.888571147,5139216.80127382
133,49.9999999990723,236607.602540161,5139238.9027884
134,69.999999998608,236622.336883215,5139252.42680906
135,99.9999999981445,236642.622914201,5139230.32529448
136,0,223955.155818259,5143101.60771694
137,20.0000000005275,223971.285541631,5143089.78265779
138,49.9999999998873,223953.547952903,5143065.58807273
139,70.0000000004148,223937.418229531,5143077.41313188
140,99.9999999997746,223955.155818259,5143101.60771694
141,0,229933.847415299,5133060.34237673
142,19.9999999996892,229917.509130301,5133048.80719388
143,49.9999999992496,229900.206356031,5133073.31462138
144,69.9999999989387,229916.544641029,5133084.84980423
145,99.9999999984991,229933.847415299,5133060.34237673
146,0,226618.086505649,5137517.43847757
147,20.0000000003609,226612.040435792,5137498.37424301
148,50.000000000099,226583.444083955,5137507.4433478
149,70.0000000004599,226589.490153812,5137526.50758236
150,100.000000000198,226618.086505649,5137517.43847757
151,0,222993.21489264,5133361.39160895
152,20.000000000227,223012.139552502,5133354.9218911
153,50.0000000000618,223002.434975722,5133326.53490131
154,70.0000000002888,222983.51031586,5133333.00461916
155,100.000000000124,222993.21489264,5133361.39160895
156,0,241023.087400642,5132519.6061631
157,20.0000000000152,241003.136808181,5132518.20122166
158,49.9999999995123,241001.029396019,5132548.12711035
159,69.9999999995275,241020.97998848,5132549.53205179
160,99.9999999990245,241023.087400642,5132519.6061631
161,0,223989.284560088,5143115.6540415
162,19.9999999997683,223970.125354816,5143109.91602326
163,49.9999999999888,223961.518327456,5143138.65483117
164,69.9999999997571,223980.677532728,5143144.3928494
165,99.9999999999776,223989.284560088,5143115.6540415
166,0,231643.085798408,5134623.1579692
167,20.0000000005443,231628.602107756,5134609.36584445
168,50.0000000002098,231607.913920632,5134631.09138043
169,70.0000000007541,231622.397611284,5134644.88350518
170,100.00000000042,231643.085798408,5134623.1579692
171,0,231631.086394588,5134603.78002795
172,20.0000000000258,231650.809040977,5134600.46080826
173,49.9999999991454,231645.830211435,5134570.87683868
174,69.9999999991712,231626.107565045,5134574.19605837
175,99.9999999982908,231631.086394588,5134603.78002795
176,0,222306.127799423,5144762.93046941
177,20.0000000000169,222326.069334544,5144761.40234081
178,50.0000000008838,222323.777141642,5144731.49003812
179,70.0000000009007,222303.835606521,5144733.01816672
180,100.000000001768,222306.127799423,5144762.93046941
181,0,231027.853203628,5144270.81629402
182,19.9999999999122,231008.031387284,5144268.15253787
183,48.7472911408964,231004.202598611,5144296.64371414
184,0,231012.934315843,5144299.08109636
185,11.0214456394227,231023.857569409,5144300.54901854
186,41.021445640246,231027.853203628,5144270.81629402
187,0,231021.994891969,5144306.47328505
188,11.6935235635302,231012.934315843,5144299.08109636
189,0,231004.202598611,5144296.64371414
