cat,x,y
117,229424.366074155,5137900.83405609
118,229424.46599063,5137900.82996977
119,229475.061697484,5137898.28568114
120,229474.962683598,5137898.29969009
121,239972.759507313,5150365.59399809
122,239972.859463503,5150365.59103834
123,240026.198368401,5150364.14118987
124,240026.098613793,5150364.13418858
125,233538.133075744,5144209.26683617
126,233538.126262066,5144209.16706857
127,233501.363623191,5144179.78070671
128,233501.455023138,5144179.82127825
129,229963.295473154,5155609.60689208
130,229963.300556882,5155609.70676277
131,229964.649437519,5155661.80207748
132,229964.689952387,5155661.7106524
133,237246.323111762,5156932.29741701
134,237246.423041463,5156932.29366801
135,237297.962957965,5156929.85516892
136,237297.863899046,5156929.86885579
137,228499.5452425,5139558.3566701
138,228499.64523556,5139558.35549201
139,228551.087572723,5139555.10027232
140,228550.989420933,5139555.11940936
141,242877.569931724,5142164.24408575
142,242877.669650999,5142164.23659802
143,242931.341485132,5142163.51860801
144,242931.24254886,5142163.50406104
145,222338.038106937,5144730.74653695
146,222338.072403123,5144730.65260202
147,222361.470109658,5144665.50113505
148,222361.386961498,5144665.55669028
149,216137.748087408,5154646.09738572
150,216137.848031136,5154646.09403143
151,216189.332508183,5154644.33083567
152,216189.232567906,5154644.33429126
153,233679.356024965,5147423.26895819
154,233679.355794553,5147423.16895846
155,233677.811887954,5147372.92913915
156,233677.825632667,5147373.02819006
157,231934.151671776,5144233.99534943
158,231934.051767469,5144233.99972316
159,231882.778827741,5144235.12955451
160,231882.877649374,5144235.14486087
161,233598.860528534,5145804.11881107
162,233598.856214624,5145804.01890416
163,233596.948263155,5145753.08948796
164,233596.951697644,5145753.18942897
165,230093.939947627,5139507.23306881
166,230094.039894377,5139507.22980581
167,230146.338465457,5139505.51888748
168,230146.238522884,5139505.52227603
169,241263.830946642,5142233.60974785
170,241263.9308615,5142233.60562219
171,241316.96163414,5142231.41588854
172,241316.861719282,5142231.4200142
173,231643.889787728,5137807.39805576
174,231643.989693443,5137807.39371433
175,231693.794476151,5137807.4661135
176,231693.694884932,5137807.45708084
177,234282.464525608,5148966.02314622
