cat,a_cat,b_cat,to_x,to_y
48,325,1,292716.94577557,4975828.86016841
49,111,1,286258.771567137,4998099.50187687
50,767,1,324377.766198359,5000716.62443229
51,228,1,312952.735021054,4979540.47607249
52,1318,1,325161.497759901,4984555.80129378
53,1318,1,325718.064503711,4984541.43259866
54,1243,1,327621.742196911,4983700.44323916
55,273,1,290502.641815601,4980157.9951802
56,180,1,298514.316605166,4980438.18127948
57,206,1,299680.718263328,4978815.33550944
58,38,1,296502.718443862,4999859.73090873
59,60,1,297542.526433778,4999328.51247912
60,53,1,303699.568459436,4991523.49877586
61,159,1,291341.317669503,5003176.4210223
62,810,1,318229.789097824,4992805.28407054
63,214,1,297991.510282859,4983661.85272013
64,237,1,310054.859677612,4976896.21272266
65,59,1,302401.782989258,5000310.77063686
66,422,1,300765.400226549,4999619.91564349
67,273,1,290562.466563991,4981907.58102788
68,284,1,289760.620934185,4982400.14111958
69,247,1,297374.146063821,4986924.03582735
70,181,1,298581.549614766,4982096.95615074
71,196,1,304809.517359855,4976995.44193773
72,230,1,306479.188442089,4978705.53761066
73,1852,1,304956.140964908,4981128.05616223
74,1854,1,301627.602780036,4988395.68852967
75,256,1,318947.059715871,4979842.24324265
76,53,1,296887.725630471,4991802.06499044
77,20,1,298862.914459287,4990870.76619584
78,422,1,300467.145500744,4990647.38112774
79,59,1,302093.252296452,4991121.01129723
80,40,1,304013.841483449,4994737.94068784
81,40,1,303663.288328247,4994747.27671426
82,422,1,300533.214660884,4992354.55940099
83,206,1,296399.753199982,4978933.66561439
84,58,1,303724.982315304,4991728.75067646
85,30,1,306292.6145784,4993085.49563878
86,323,1,294413.910698264,4985408.83606698
87,313,1,294329.042435724,4987026.56449868
88,293,1,293920.900570951,4985962.96717402
89,118,1,281464.769371266,4998763.99839229
90,68,1,284803.213956261,4998434.8143044
91,1198,1,315178.815238679,4998887.97975875
92,475,1,305616.463927453,5001085.18822464
93,656,1,291369.905167897,5004329.2522422
94,1111,1,291777.292626497,5004793.68411871
95,1699,1,292911.833672312,5002946.15925235
96,712,1,292910.988054776,5002558.32912271
97,46,1,316739.077436557,4989626.33703434
98,631,1,294737.377586244,5008932.12555033
99,706,1,293161.567579817,5009904.18479285
100,1177,1,319741.598962515,5005414.7452609
101,472,1,321058.245215261,5005487.65345262
102,32,1,320129.103077379,5001199.74492515
103,64,1,320092.017057785,5000853.33170456
104,91,1,294446.598186739,5000680.26206968
105,86,1,294703.329456294,5001483.77562823
106,86,1,295701.091983498,5001494.7244553
107,422,1,300844.836381826,5001680.22129012
108,20,1,299206.101226196,5001163.29646231
109,20,1,299312.449152409,5002770.96247981
110,460,1,300191.459070048,5004536.96568629
111,444,1,299553.915290672,5002946.18506289
112,118,1,301038.128045052,4998080.8667269
113,48,1,301608.99902125,4996444.01474639
114,243,1,311310.783422796,4978477.1669615
115,214,1,313814.795573787,4983236.59674546
116,2778,1,323808.124575514,4990636.70614578
117,4377,1,323636.660146873,4991049.87179876
118,1124,1,327196.039483659,4982891.47305962
119,1319,1,324398.485693174,4985115.85530425
120,293,1,293808.955622156,4982830.16843169
121,284,1,293688.603796117,4982219.95823517
122,566,1,291535.821282637,4981158.93041984
123,58,1,303794.143064197,4993668.53611558
124,59,1,302189.362480689,4993588.61236928
125,40,1,303264.105476582,4994762.67460048
126,1177,1,322537.957234863,5004123.56453844
127,247,1,297903.776056144,4986903.98024241
