cat,a_cat,b_cat,to_x,to_y
418,2815,1,484762.287360565,4845353.71647328
419,1977,1,486371.481876316,4843357.84667844
420,3498,1,492118.822466536,4846968.11600768
421,3047,1,492476.867399158,4849374.47712675
422,2011,1,485704.061589559,4832427.06893279
423,532,1,486367.247811455,4832430.55985795
424,1977,1,486367.247811455,4832430.55985795
425,3417,1,484753.370956854,4832425.23417889
426,577,1,484753.370956854,4832425.23417889
427,1751,1,461812.190536448,4836422.73615974
428,2237,1,462220.448188563,4835685.08918788
429,2683,1,468668.001044407,4852750.62660904
430,2081,1,454747.561150023,4819677.01386868
431,3254,1,452452.167293826,4820749.80928983
432,633,1,452004.11952908,4821316.96887576
433,532,1,486362.361232217,4849054.56107995
434,533,1,485341.192739381,4851793.14165179
435,3418,1,490120.37417212,4825992.8034585
436,3437,1,489574.035352501,4826658.19664617
437,1124,1,487943.967662043,4818722.7789042
438,3120,1,486336.260790338,4821129.78627152
439,532,1,486336.260790338,4821129.78627152
440,2324,1,449334.951123528,4837999.48816077
441,958,1,449334.951123528,4837999.48816077
442,1563,1,479943.875098525,4825923.11752429
443,1564,1,479943.875098525,4825923.11752429
444,2923,1,481418.009291688,4824444.47333797
445,1123,1,479688.920398185,4822810.87122451
446,3568,1,481418.029289801,4824444.47306164
447,1725,1,481418.029289801,4824444.47306164
448,1475,1,456557.426574315,4854256.53620715
449,2782,1,452575.533092125,4833874.69448348
450,3254,1,452575.533092125,4833874.69448348
451,3224,1,452286.028470373,4834126.37293785
452,2780,1,452286.028470373,4834126.37293785
453,1382,1,452286.028470373,4834126.37293785
454,2201,1,471309.89902462,4820767.19743968
455,3810,1,471786.778634551,4820361.44567306
456,2034,1,482936.419569063,4830783.4253192
457,3877,1,481396.597465875,4829967.7638607
458,1562,1,481549.473318354,4829863.69793487
459,2301,1,453535.870256667,4829292.53132136
460,379,1,453535.848232495,4829292.53135734
461,1978,1,479950.648216696,4849301.7398819
462,3810,1,477466.722293869,4822329.9286294
463,1487,1,476083.188761507,4823268.49337333
464,1486,1,474141.868499076,4824320.29030566
465,2301,1,459131.904693397,4829274.10700467
466,810,1,469079.60221932,4844325.32386073
467,2347,1,470163.39284133,4843689.78070189
468,1516,1,478524.66860116,4855044.55104191
469,541,1,478855.096008274,4853349.7131351
470,2781,1,451138.830864943,4832525.57561407
471,2330,1,451138.830864943,4832525.57561407
472,916,1,454142.301010858,4827914.44801329
473,1952,1,471839.163034537,4819560.46072252
474,3609,1,471359.875611257,4819563.14314632
475,2343,1,455376.064514678,4827671.39750544
476,2985,1,477857.652052086,4816761.35632253
477,523,1,467575.892468572,4817974.3209911
478,2451,1,467785.218427945,4817547.8943187
479,3367,1,467785.218427945,4817547.8943187
480,2902,1,467785.218427945,4817547.8943187
481,1007,1,471749.866662085,4821965.9157448
482,2201,1,470984.777537707,4823342.67041466
483,3120,1,486336.76826367,4821542.15662624
484,94,1,479674.327836402,4833967.36535903
485,1751,1,478346.710808887,4834713.66205382
486,1950,1,471427.614829364,4820801.67953075
487,1357,1,470223.612373094,4821355.0355205
488,3724,1,472282.766735928,4841263.01577385
489,532,1,486366.775160157,4846592.51403722
490,3047,1,494869.984041686,4849358.24537369
491,2578,1,494889.138738668,4849371.66676498
492,1390,1,450967.32645352,4833231.79128917
493,913,1,451138.830864943,4832525.57561407
494,2505,1,483550.596900388,4830811.14033893
495,1573,1,484761.661769618,4830824.45601217
496,593,1,483550.596900388,4830811.14033893
497,2201,1,471525.362170942,4827256.8509638
498,2201,1,471308.494890018,4819597.36654704
499,1978,1,479909.833622279,4836521.29682308
500,3834,1,479909.833622279,4836521.29682308
501,2655,1,479909.833622279,4836521.29682308
502,2905,1,470273.813615052,4823966.14433507
503,2146,1,460601.450260397,4833268.90861608
504,2330,1,459661.426931019,4832463.62506242
505,1065,1,463223.610719453,4846962.90992191
506,952,1,464775.336248815,4848562.73525111
507,3865,1,467126.959927954,4854159.25129736
508,2947,1,466898.288419492,4853752.60073019
509,3419,1,483090.493489574,4822360.90750309
510,3117,1,484901.00103499,4819539.70465546
511,1879,1,468703.105208268,4852578.17892308
512,573,1,483130.857638019,4832390.95418025
513,822,1,464641.815593097,4838875.08847256
514,1061,1,464705.971042472,4839373.60411402
515,1751,1,464445.863331077,4836404.03564206
516,1588,1,486611.620696692,4821143.22437011
517,1977,1,486336.76826367,4821542.15662624
518,532,1,486336.76826367,4821542.15662624
519,532,1,486371.481876316,4843357.84667844
520,2237,1,462228.562578092,4836776.54546647
521,3116,1,477466.722293869,4822329.9286294
522,2427,1,474141.868499076,4824320.29030566
523,2886,1,474141.868499076,4824320.29030566
524,2258,1,473467.132409575,4825088.6212784
525,1213,1,460511.573105387,4833269.80484287
526,2780,1,461112.525837816,4834060.86130185
527,1382,1,461112.525837816,4834060.86130185
528,2829,1,478655.911523601,4853354.60531578
529,2023,1,479163.128992542,4834190.15823697
530,572,1,479956.102448542,4833786.51869922
531,855,1,479674.327836402,4833967.36535903
532,2263,1,479674.327836402,4833967.36535903
533,2024,1,479163.128992542,4834190.15823697
534,2430,1,471427.614829364,4820801.67953075
535,3609,1,471337.273880417,4820775.64103395
536,317,1,470223.612373094,4821355.0355205
537,3465,1,462228.562361716,4836776.5253912
538,3433,1,484761.660922472,4830824.43600188
539,3609,1,471539.224547138,4827223.24533835
540,452,1,465972.596126029,4850983.50004475
