cat,a_cat,a_osm_id,a_code,a_fclass,a_name,a_ref,a_oneway,a_maxspeed,a_layer,a_bridge,a_tunnel,b_cat,to_x,to_y
164,102367,"18093146",5114,"secondary","State Line Road",,"B",0,0,"F","F",1,452354.737992821,4816469.41958262
165,100363,"18090526",5122,"residential","110th Street",,"B",0,0,"F","F",1,451236.448468529,4818093.60611363
166,100317,"18090443",5122,"residential","170th Street",,"B",0,0,"F","F",1,461096.056798222,4827634.12636984
167,100317,"18090443",5122,"residential","170th Street",,"B",0,0,"F","F",1,460864.803329352,4827636.3598263
168,100363,"18090526",5122,"residential","110th Street",,"B",0,0,"F","F",1,455575.207411819,4818053.79644618
169,624406,"817766166",5121,"unclassified","200th Street",,"B",0,0,"F","F",1,483117.256332142,4832394.69817444
170,103083,"18093999",5115,"tertiary","255th Street","CR 25","B",0,0,"F","F",1,470864.19873531,4841269.86806412
171,102491,"18093290",5115,"tertiary","875th Avenue","CR 34","B",0,0,"F","F",1,490387.351591051,4845777.40931456
172,100783,"18091086",5122,"residential","890th Avenue",,"B",0,0,"F","F",1,492788.606553519,4846121.39616047
173,101479,"18092020",5115,"tertiary","320th Street","CR 35","B",0,0,"F","F",1,492913.888506191,4851792.12989955
174,100783,"18091086",5122,"residential","890th Avenue",,"B",0,0,"F","F",1,492799.141598446,4851206.4226571
175,102080,"18092792",5122,"residential","860th Avenue",,"B",0,0,"F","F",1,487945.078826774,4852657.73247272
176,934637,"1331703223",5115,"tertiary","850th Avenue","CR 30","B",0,0,"F","F",1,486372.182956817,4852662.2371039
177,486240,"627976926",5111,"motorway",,"I 90","F",112,0,"F","F",1,475300.966553161,4836452.65057413
178,101689,"18092298",5115,"tertiary","715th Avenue","CR 71","B",0,0,"F","F",1,464650.626016071,4838214.18062656
179,103083,"18093999",5115,"tertiary","255th Street","CR 25","B",0,0,"F","F",1,464345.320292202,4841298.74426652
180,101689,"18092298",5115,"tertiary","715th Avenue","CR 71","B",0,0,"F","F",1,464643.17242531,4837291.89102669
181,100885,"18091208",5122,"residential","225th Street",,"B",0,0,"F","F",1,464446.310723541,4836471.69016632
182,99444,"18089460",5122,"residential","295th Street",,"B",0,0,"F","F",1,481551.621370618,4847720.12229633
183,307274,"115869861",5115,"tertiary","510th Street","CR 32","B",0,0,"F","F",1,489685.167246461,4816307.24247985
184,100361,"18090524",5114,"secondary","110th Street","CR 1","B",88,0,"F","F",1,488461.133216995,4817916.95425461
185,307257,"115863951",5115,"tertiary","850th Avenue","CR 30","B",0,0,"F","F",1,486336.76826367,4821542.15662624
186,101446,"18091971",5122,"residential","900th Avenue",,"B",0,0,"F","F",1,494397.918104392,4848766.30704765
187,101729,"18092347",5122,"residential","220th Street",,"B",0,0,"F","F",1,478706.176162419,4835608.32918166
188,307248,"115837635",5142,"track",,,"B",0,0,"F","F",1,479488.132787027,4836525.4007174
189,100256,"18090374",5122,"residential","275th Street",,"B",0,0,"F","F",1,468809.065924,4844499.16865012
190,307246,"115837346",5114,"secondary","255th Street","CR 25","B",0,0,"F","F",1,484779.95269568,4840902.33324942
191,927717,"1316241638",5115,"tertiary","Central Avenue North","CR 28","B",0,1,"T","F",1,483546.180609043,4845912.5871395
192,101286,"18091711",5114,"secondary","State Highway 251","MN 251","B",0,0,"F","F",1,484762.267781408,4845353.90629119
193,96286,"18085767",5141,"service",,,"B",0,0,"F","F",1,491865.419877686,4846956.4198483
194,101046,"18091407",5115,"tertiary","290th Street","CR 103","B",0,0,"F","F",1,492118.802461231,4846968.11617607
195,100308,"18090434",5115,"tertiary","305th Street","CR 105","B",0,0,"F","F",1,492476.867399158,4849374.47712675
196,101238,"18091650",5122,"residential","300th Street",,"B",0,0,"F","F",1,485257.251738142,4848571.21289381
197,100363,"18090526",5122,"residential","110th Street",,"B",0,0,"F","F",1,448388.157430864,4818107.74338927
198,307197,"115798380",5115,"tertiary","850th Avenue","CR 30","B",88,0,"F","F",1,486364.255959585,4832430.54326429
199,101277,"18091700",5142,"track","840th Avenue",,"B",0,0,"F","F",1,484753.370956854,4832425.23417889
200,102856,"18093733",5115,"tertiary","700th Avenue","CR 14","B",0,0,"F","F",1,462220.448055209,4835685.06712511
201,298141,"81140392",5115,"tertiary","740th Avenue","CR 20","B",0,0,"F","F",1,468666.00981928,4852750.92764742
202,307157,"115767639",5115,"tertiary","120th Street","CR 62","B",0,0,"F","F",1,454747.561150023,4819677.01386868
203,101077,"18091443",5122,"residential","640th Avenue",,"B",0,0,"F","F",1,452452.167293826,4820749.80928983
204,101307,"18091736",5115,"tertiary","130th Street","CR 49","B",0,0,"F","F",1,452004.11952908,4821316.96887576
205,102223,"18092967",5115,"tertiary","850th Avenue","CR 30","B",0,0,"F","F",1,486362.361232217,4849054.56107995
206,307270,"115867874",5115,"tertiary","320th Street","CR 35","B",88,0,"F","F",1,485341.213176461,4851793.14175345
207,100856,"18091171",5122,"residential","310th Street",,"B",0,0,"F","F",1,484613.023160134,4850168.30739448
208,307272,"115869835",5121,"unclassified","160th Street","CR 109","B",0,0,"F","F",1,490120.37417212,4825992.8034585
209,307271,"115869832",5121,"unclassified","870th Avenue","CR 110","B",0,0,"F","F",1,489574.035352501,4826658.19664617
210,102094,"18092806",5122,"residential","860th Avenue",,"B",0,0,"F","F",1,487943.967662043,4818722.7789042
211,307257,"115863951",5115,"tertiary","850th Avenue","CR 30","B",0,0,"F","F",1,486336.260790338,4821129.78627152
212,93348,"18081900",5122,"residential","610th Avenue",,"B",0,0,"F","F",1,447741.96913189,4837766.55067575
213,100175,"18090285",5141,"service",,,"B",0,0,"F","F",1,449375.963412649,4839032.49376339
214,102798,"18093656",5114,"secondary","810th Avenue","CR 26","B",88,0,"F","F",1,479903.87856026,4825630.44708598
215,101618,"18092208",5114,"secondary","150th Street","CR 13","B",0,0,"F","F",1,481418.039271099,4824446.43175813
216,102551,"18093366",5121,"unclassified","River Road",,"B",0,0,"F","F",1,479691.583581594,4822813.76484696
217,100513,"18090747",5121,"unclassified","820th Avenue",,"B",0,0,"F","F",1,481484.136694154,4824547.40090019
218,100266,"18090385",5115,"tertiary","660th Avenue","CR 10","B",88,0,"F","F",1,455917.757211578,4854287.84159545
219,164455,"18166993",5122,"residential","262nd Street",,"B",0,0,"F","F",1,499201.787703784,4842495.22622126
220,308466,"118456098",5113,"primary","Highway 218","US 218","B",96,0,"F","F",1,500811.663958039,4841520.34844076
221,92065,"18080270",5111,"motorway",,"I 90","F",112,0,"F","F",1,451230.671990469,4834948.70634113
222,101072,"18091438",5115,"tertiary","640th Avenue","CR 63","B",0,0,"F","F",1,452575.533092125,4833874.69448348
223,99053,"18089028",5141,"service",,,"B",0,0,"F","F",1,470024.931037618,4821571.27796281
224,95326,"18084284",5122,"residential","240th Street",,"B",0,0,"F","F",1,460622.700588172,4838909.554178
225,795711,"1080584140",5114,"secondary","255th Street","CR 25","B",0,0,"F","F",1,472282.746735936,4841263.01599107
226,101091,"18091461",5122,"residential","295th Street",,"B",0,0,"F","F",1,487251.842764928,4847766.93175786
227,287718,"45287638",5111,"motorway",,"I 90","F",104,1,"T","F",1,499313.859122775,4835772.79794903
228,102921,"18093810",5121,"unclassified","185th Street",,"B",0,0,"F","F",1,482181.043159989,4829981.32319324
229,102921,"18093810",5121,"unclassified","185th Street",,"B",0,0,"F","F",1,481394.302338832,4829970.44362373
230,100509,"18090732",5121,"unclassified","820th Avenue",,"B",0,0,"F","F",1,481547.08666859,4829864.58578074
231,102533,"18093343",5115,"tertiary","650th Avenue","CR 4","B",0,0,"F","F",1,454142.301010858,4827914.44801329
232,101937,"18092605",5122,"residential","760th Avenue",,"B",0,0,"F","F",1,471870.022837912,4826588.279535
233,381813,"232952933",5113,"primary",,"US 69","B",96,0,"F","F",1,467400.501496233,4827203.64567668
234,298104,"81140341",5111,"motorway",,"I 90","F",112,0,"F","F",1,460070.555100733,4836068.60938892
235,102795,"18093650",5114,"secondary","810th Avenue","CR 26","B",88,0,"F","F",1,479950.648216696,4849301.7398819
236,965730,"1387406616",5115,"tertiary","787th Avenue","CR 82","B",0,1,"T","F",1,476081.884056058,4823270.27395579
237,101625,"18092219",5114,"secondary","150th Street","CR 13","B",0,0,"F","F",1,474141.875457721,4824320.28237072
238,96687,"18086256",5141,"service",,,"B",0,0,"F","F",1,470274.264634035,4823864.92529744
239,307294,"115920994",5115,"tertiary","680th Avenue","CR 69","B",0,0,"F","F",1,458991.374839976,4829628.17981385
240,95192,"18084122",5141,"service",,,"B",0,0,"F","F",1,469707.279067194,4844016.8354005
241,102139,"18092863",5122,"residential","750th Avenue",,"B",0,0,"F","F",1,470286.125329599,4843604.87069592
242,95736,"18084797",5122,"residential",,,"B",0,0,"F","F",1,478851.614238043,4853349.64559683
243,307220,"115836005",5122,"residential","290th Street",,"B",0,0,"F","F",1,470495.65254953,4846917.56612231
244,307207,"115799732",5115,"tertiary","180th Street","CR 17","B",0,0,"F","F",1,453535.870256667,4829292.53132136
245,100826,"18091137",5122,"residential","285th Street",,"B",0,0,"F","F",1,489171.646756728,4846157.29555269
246,307153,"115767635",5122,"residential","660th Avenue",,"B",0,0,"F","F",1,455753.46280541,4828640.02206879
247,449965,"476312808",5115,"tertiary","797th Avenue","CR 1","B",0,1,"T","F",1,477854.271350591,4816761.32911557
248,100360,"18090522",5115,"tertiary","110th Street","CR 83","B",0,0,"F","F",1,467575.892468572,4817974.3209911
249,100592,"18090855",5115,"tertiary","135th Street","CR 82","B",0,0,"F","F",1,471749.886661637,4821965.9155923
250,428939,"379499063",5111,"motorway",,"I 35","F",112,0,"F","F",1,471012.993243178,4823328.44258283
251,95657,"18084692",5141,"service",,,"B",0,0,"F","F",1,467006.444454951,4827608.20252389
252,620372,"817018339",5111,"motorway",,"I 90","F",112,0,"F","F",1,478346.667550146,4834715.38163298
253,624396,"817762949",5152,"cycleway",,,"B",0,1,"T","F",1,479712.229981389,4832956.18915156
254,624417,"817767183",5114,"secondary","810th Avenue","CR 26","B",48,0,"F","F",1,479965.998098468,4833357.37452242
255,298103,"81140337",5111,"motorway",,"I 90","F",112,0,"F","F",1,478346.036421839,4834741.26489981
256,449977,"476312826",5115,"tertiary","125th Street","CR 5","B",0,1,"T","F",1,471785.271852523,4820363.98648871
257,307214,"115832685",5115,"tertiary","750th Avenue","CR 18","B",0,0,"F","F",1,470217.372442289,4821355.44818661
258,298104,"81140341",5111,"motorway",,"I 90","F",112,0,"F","F",1,461812.190536448,4836422.73615974
259,103044,"18093953",5122,"residential","250th Street",,"B",0,0,"F","F",1,472473.376257981,4840455.50523258
260,100396,"18090562",5121,"unclassified","830th Avenue",,"B",0,0,"F","F",1,483127.636749928,4832387.84433436
261,101286,"18091711",5114,"secondary","State Highway 251","MN 251","B",0,0,"F","F",1,487951.084336332,4845373.68984339
262,94860,"18083748",5141,"service",,,"B",0,0,"F","F",1,494889.13908684,4849371.68685741
263,101446,"18091971",5122,"residential","900th Avenue",,"B",0,0,"F","F",1,494398.311545899,4848955.96558831
264,307255,"115838405",5115,"tertiary","830th Avenue","CR 118","B",0,0,"F","F",1,483148.848076086,4842102.03294474
265,94706,"18083559",5142,"track",,,"B",0,0,"F","F",1,487157.376214065,4846588.20160476
266,287717,"45287637",5111,"motorway",,"I 90","F",104,1,"T","F",1,499300.345759973,4835786.274488
267,100330,"18090459",5115,"tertiary","260th Street","CR 104","B",0,0,"F","F",1,487331.426004146,4842117.12940495
268,92065,"18080270",5111,"motorway",,"I 90","F",112,0,"F","F",1,449760.519262478,4834906.38200004
269,101249,"18091666",5122,"residential","630th Avenue",,"B",0,0,"F","F",1,450967.32645352,4833231.79128917
270,422639,"350418017",5115,"tertiary","115th Street","CR 72","B",0,1,"T","F",1,459356.376455412,4819302.13108438
271,100182,"18090293",5141,"service",,,"B",0,0,"F","F",1,483145.492399959,4830805.1968652
272,102718,"18093564",5122,"residential","710th Avenue",,"B",0,0,"F","F",1,463813.678278522,4827165.29293681
273,102718,"18093564",5122,"residential","710th Avenue",,"B",0,0,"F","F",1,463815.895309181,4827485.87997671
274,101291,"18091717",5114,"secondary","State Highway 251","MN 251","B",0,0,"F","F",1,481539.457562878,4845314.03825406
275,97825,"18087636",5122,"residential","275th Street",,"B",0,0,"F","F",1,481555.656683373,4844518.83568732
276,94912,"18083805",5122,"residential","277th Street",,"B",0,0,"F","F",1,487951.848624044,4844956.2244928
277,511221,"694300280",5114,"secondary","750th Avenue","CR 18","B",0,0,"F","F",1,470266.856708336,4828638.57984506
278,307163,"115790767",5111,"motorway",,"I 35","F",112,0,"F","F",1,471308.495357606,4819597.39026603
279,298111,"81140355",5111,"motorway",,"I 90","F",112,0,"F","F",1,460071.36868513,4836096.10994741
280,282952,"39935915",5111,"motorway",,"I 90","F",112,0,"F","F",1,485558.737795745,4834091.62478116
281,307214,"115832685",5115,"tertiary","750th Avenue","CR 18","B",0,0,"F","F",1,470255.849621632,4824437.90867303
282,96676,"18086240",5142,"track",,,"B",0,0,"F","F",1,460511.573105391,4833269.80484287
283,96128,"18085571",5141,"service",,,"B",0,0,"F","F",1,454933.528669575,4827307.04634531
284,307153,"115767635",5122,"residential","660th Avenue",,"B",0,0,"F","F",1,455721.392128682,4825683.47661186
285,307225,"115836012",5115,"tertiary","300th Street","CR 31","B",0,0,"F","F",1,464775.320791854,4848563.99471416
