cat,a_cat,b_cat,to_x,to_y
271,1023,1,252488.695577529,4970934.43355998
272,2050,1,245709.774817125,4988914.84308
273,1670,1,247797.590718198,4989000.88122589
274,568,1,246932.213460467,4988995.15932397
275,724,1,245691.713873711,4988899.48320885
276,735,1,263459.065272217,4964659.71519272
277,847,1,250856.700288325,4997721.8460861
278,842,1,252477.259576372,4997618.7874898
279,1572,1,261166.498128355,4984327.51174682
280,1231,1,271564.835383574,4966971.75639728
281,2114,1,266564.313725257,4963447.31218996
282,1858,1,258598.862172557,4964108.35202831
283,1736,1,257026.604037035,4965847.48132989
284,592,1,263957.795761307,4967221.55964728
285,587,1,260362.118853619,4968269.0273491
286,494,1,246090.322150433,4974539.60892472
287,199,1,246090.322150433,4974539.60892472
288,1608,1,245905.64208455,4974448.82604633
289,733,1,235831.588304626,4991472.62469829
290,129,1,276666.455141424,4981326.87297529
291,165,1,262611.322291084,4988599.63308665
292,1331,1,261897.477943637,4988788.22490139
293,1547,1,269588.982404647,4982072.9866013
294,845,1,249330.44879725,4999999.72619259
295,468,1,278505.959606835,4974571.3227339
296,1640,1,282994.948781327,4970571.92325641
297,203,1,284615.917666021,4970412.29375779
298,1700,1,266032.371195738,4965556.55273926
299,1736,1,266032.371195738,4965556.55273926
300,905,1,266032.371195738,4965556.55273926
301,903,1,266032.371195738,4965556.55273926
302,435,1,272900.409993754,4976555.79296198
303,129,1,268931.036794393,4981576.83524099
304,2050,1,245974.340034919,4995351.13807301
305,725,1,250616.606143049,4990414.79112916
306,237,1,254107.262425254,4997965.76916035
307,1282,1,239140.354893236,4985979.17816045
308,108,1,239143.660854738,4985983.10647964
309,1365,1,248573.522966218,4967869.17972136
310,1976,1,248971.533143836,4967836.2850766
311,1327,1,257836.534781048,4994865.20194726
312,979,1,246253.793761231,5001510.41753476
313,1703,1,278749.519304455,4966624.60352986
314,1726,1,263624.978909615,4959144.90583787
315,1744,1,260109.819637209,4961351.02990213
316,585,1,258726.531228326,4967715.33645511
317,585,1,258747.584789335,4968425.79293652
318,293,1,258726.531228326,4967715.33645511
319,293,1,258747.584789335,4968425.79293652
320,1730,1,264607.35392565,4977293.29697002
321,127,1,267940.724144977,4979946.21848495
322,127,1,267950.915562532,4981637.80408911
323,457,1,264697.004142767,4979237.89253399
324,1567,1,264697.004142767,4979237.89253399
