cat,a_cat,a_osm_id,a_code,a_fclass,a_name,a_ref,a_oneway,a_maxspeed,a_layer,a_bridge,a_tunnel,b_cat,to_x,to_y
395,132457,"18130117",5115,"tertiary","151st Avenue","CR 53","B",0,0,"F","F",1,235945.584994345,4994020.76298838
396,274040,"18299767",5122,"residential","330th Avenue",,"B",0,0,"F","F",1,278200.961243238,4973194.14208118
397,274234,"18299994",5122,"residential","410th Street",,"B",0,0,"F","F",1,276522.811634903,4971098.92632213
398,274040,"18299767",5122,"residential","330th Avenue",,"B",0,0,"F","F",1,277018.466850479,4973245.2720374
399,132792,"18130529",5115,"tertiary","County Highway 28","CR 28","B",0,0,"F","F",1,246863.145692755,4998500.06049125
400,131545,"18128980",5122,"residential","131st Avenue",,"B",0,0,"F","F",1,232531.277090651,4989536.66910491
401,131669,"18129185",5122,"residential","250th Street",,"B",0,0,"F","F",1,251201.275744713,4990384.40206627
402,131808,"18129345",5122,"residential","335th Avenue",,"B",0,0,"F","F",1,265124.771022144,4966200.57962292
403,131808,"18129345",5122,"residential","335th Avenue",,"B",0,0,"F","F",1,265274.52742466,4971228.26110385
404,132378,"18130025",5121,"unclassified","County Road 71","CR 71","B",0,0,"F","F",1,266873.372343551,4970524.84971301
405,132411,"18130064",5115,"tertiary","County Highway 2","CR 2","B",0,0,"F","F",1,268489.87812069,4970311.58589429
406,132529,"18130207",5115,"tertiary","County Highway 8","CR 8","B",0,0,"F","F",1,268672.165171647,4975113.83136662
407,131785,"18129321",5122,"residential","241st Avenue",,"B",0,0,"F","F",1,250967.695067357,5000340.24953756
408,131544,"18128979",5122,"residential","330th Street",,"B",0,0,"F","F",1,252055.996367041,5003169.74342589
409,131469,"18128895",5122,"residential","221st Avenue",,"B",0,0,"F","F",1,247994.32451866,5006920.11113285
410,369698,"188893588",5122,"residential","470th Street",,"B",0,0,"F","F",1,285999.588009996,4967280.74768658
411,274428,"18300218",5121,"unclassified","County Road B5",,"B",0,0,"F","F",1,279599.150804481,4966655.89417735
412,274071,"18299804",5122,"residential","320th Street",,"B",0,0,"F","F",1,261855.542899481,4965166.37637154
413,132716,"18130434",5115,"tertiary","The Theodore Christianson Drive","CR 23","B",0,0,"F","F",1,258769.883207256,4969271.1657
414,949917,"1365460248",5122,"residential","180th Street",,"B",0,1,"T","F",1,272632.790841401,4978192.46854294
415,131583,"18129023",5122,"residential","170th Street",,"B",0,0,"F","F",1,273900.535893416,4976522.87944554
416,132760,"18130489",5115,"tertiary","County Highway 26","CR 26","B",0,0,"F","F",1,251342.079820335,4993636.0253004
417,132760,"18130489",5115,"tertiary","County Highway 26","CR 26","B",0,0,"F","F",1,250380.798854221,4993713.31009992
418,132760,"18130489",5115,"tertiary","County Highway 26","CR 26","B",0,0,"F","F",1,249653.983976618,4993762.52536405
419,335178,"147149220",5115,"tertiary","County Highway 8","CR 8","B",0,0,"F","F",1,272840.204467215,4974937.08499772
420,131035,"18128395",5122,"residential","280th Avenue",,"B",0,0,"F","F",1,257027.176663951,4965862.07928604
421,274373,"18300156",5122,"residential","360th Street",,"B",0,0,"F","F",1,268254.236696604,4965435.5676
422,132531,"18130209",5115,"tertiary","County Highway 8","CR 8","B",0,0,"F","F",1,271228.273033485,4975002.00220322
423,131250,"18128644",5122,"residential","201st Avenue",,"B",0,0,"F","F",1,244651.662084426,5001780.87789363
424,132594,"18130292",5122,"residential","180th Street",,"B",0,0,"F","F",1,264904.784921875,4978491.25399722
425,461334,"545213157",5121,"unclassified","330th Street","CR 10","B",0,0,"F","F",1,263457.825009115,4964659.67561488
426,132786,"18130522",5122,"residential","120th Street",,"B",0,0,"F","F",1,259575.630519784,4968995.23815997
427,133028,"18130819",5121,"unclassified","County Road 27","CR 27","B",0,0,"F","F",1,263549.638458026,4967247.55312535
428,369638,"188705417",5153,"footway",,,"B",0,1,"T","F",1,258013.068138409,4980512.98258093
429,437836,"437997294",5142,"track",,,"B",0,1,"T","F",1,266966.749207303,4981986.96399963
430,131201,"18128589",5122,"residential","351st Avenue",,"B",0,0,"F","F",1,267932.902743155,4981639.14662886
431,131085,"18128454",5122,"residential","191st Avenue",,"B",0,0,"F","F",1,243168.173257994,5004946.18515393
432,131030,"18128386",5115,"tertiary","County Highway 73","CR 73","B",0,0,"F","F",1,265292.816663517,4993705.07569352
433,131527,"18128960",5122,"residential","351st Avenue",,"B",0,0,"F","F",1,268397.965988998,4990889.38754541
