cat,a_cat,b_cat,to_x,to_y
70,9196,1,337142.624461931,5050754.40434629
71,3112,1,360270.966217888,5032311.86593896
72,3114,1,360174.951978361,5031976.38883016
73,4283,1,363355.498053453,5031906.04582312
74,4515,1,363843.259526042,5030279.2207817
75,1896,1,363336.333309273,5017200.72610372
76,672,1,363204.816387396,5016648.85803802
77,1061,1,364976.720109002,5018655.33941975
78,3120,1,366423.281077403,5019006.77021326
79,522,1,357178.472814604,5029630.75183404
80,10029,1,357437.010158483,5030435.93148875
81,5418,1,357437.010158483,5030435.93148875
82,3003,1,357437.010158483,5030435.93148875
83,4602,1,357437.010158483,5030435.93148875
84,10733,1,357437.010158483,5030435.93148875
85,4601,1,357437.010158483,5030435.93148875
86,522,1,357193.082386436,5030219.26718305
87,2589,1,357180.723627108,5029628.32972705
88,2868,1,341499.295265322,5041170.58614992
89,6222,1,343137.726729742,5042277.81724191
90,6339,1,338331.700568282,5041283.41952437
91,4170,1,342070.049334935,5053195.0886899
92,5585,1,336584.36077901,5051702.42089099
93,2381,1,333088.640536524,5050167.25461176
94,4433,1,371188.038006902,5029484.05025547
95,6379,1,371790.836796854,5028468.99579291
96,5019,1,335943.177853311,5054943.58680509
97,5018,1,335943.177853311,5054943.58680509
98,9124,1,335540.847607648,5051400.23749967
99,1266,1,332718.811013904,5051523.34409365
100,5585,1,335507.348195359,5050521.18316246
101,1267,1,328332.955952094,5053545.51244338
102,1269,1,329528.192284442,5052423.36421383
103,6222,1,343256.77046154,5046342.26713376
104,8704,1,336636.203894232,5039302.63304364
105,1894,1,332718.811013904,5051523.34409365
106,9126,1,340231.882418421,5046834.8303859
107,2079,1,331478.110271693,5048650.90372917
108,1775,1,331929.464176498,5050196.95525114
109,253,1,328860.180774379,5049507.9137912
110,1775,1,329921.783185939,5050257.23254907
111,8594,1,346666.230814217,5038877.74978337
112,1763,1,344596.816636863,5038681.93351693
113,6222,1,343041.379981789,5038619.94337332
114,4075,1,340610.785754185,5037612.80736479
115,348,1,327409.871537581,5054764.76974
116,1271,1,330851.266717329,5056273.76704536
117,3367,1,371657.228737012,5029183.3937468
118,3367,1,371636.977922035,5028433.47921793
119,6222,1,346029.573541896,5046678.25282299
120,6466,1,342070.049334935,5053195.0886899
121,673,1,331520.922679501,5051861.73609645
122,670,1,331520.922679501,5051861.73609645
123,973,1,331337.225451123,5052633.4943284
124,1895,1,331337.225451123,5052633.4943284
125,1274,1,331337.225451123,5052633.4943284
126,5585,1,335248.112524281,5048670.11026037
127,833,1,333680.481014716,5048494.19709526
128,4963,1,333680.481014716,5048494.19709526
129,6136,1,333680.481014716,5048494.19709526
130,1136,1,333680.481014716,5048494.19709526
131,9124,1,335248.112524281,5048670.11026037
132,5585,1,337941.654947458,5051680.63752029
133,9196,1,337163.433459201,5051144.70053324
134,1878,1,342282.54764395,5049970.56773229
135,5019,1,335587.906224332,5052566.85048569
136,10295,1,336212.799517314,5051708.26670705
137,7662,1,360474.942681724,5032621.24336498
138,6591,1,363355.478056078,5031906.04625756
139,10295,1,336584.36077901,5051702.42089099
140,5669,1,333088.640536524,5050167.25461176
141,252,1,333088.640536524,5050167.25461176
142,1138,1,333088.640536524,5050167.25461176
143,250,1,333088.640536524,5050167.25461176
144,2262,1,333088.640536524,5050167.25461176
145,2263,1,333088.640536524,5050167.25461176
146,10297,1,333088.640536524,5050167.25461176
147,663,1,330782.834174415,5052069.91299521
148,376,1,330782.834174415,5052069.91299521
149,663,1,330678.891417161,5050760.49785287
150,376,1,330678.891417161,5050760.49785287
151,2907,1,371531.00219094,5029267.99735329
152,5585,1,336212.799517314,5051708.26670705
