cat,a_cat,b_cat,to_x,to_y
170,1340,1,400501.795761549,4860602.71770077
171,2578,1,447741.958977822,4837765.33619034
172,2324,1,449334.185085831,4837999.95175732
173,1380,1,449394.208846907,4839517.53386267
174,474,1,449383.424887273,4839032.47074096
175,4052,1,447741.958977822,4837765.33619034
176,2235,1,418859.362435609,4841892.06594287
177,1920,1,418859.362435609,4841892.06594287
178,741,1,441148.376592102,4848793.02540733
179,1341,1,441400.956841613,4848444.65578222
180,2165,1,401802.336736197,4854029.3711027
181,1239,1,401340.106878469,4852411.3614015
182,2679,1,407045.506164756,4834674.66930543
183,364,1,407603.682276768,4834677.67676198
184,1308,1,434782.344335168,4827157.60705954
185,376,1,434782.344335168,4827157.60705954
186,580,1,437872.287256188,4816662.77626269
187,579,1,437872.287256188,4816662.77626269
188,652,1,428180.827381217,4817104.56255139
189,1798,1,432430.599794176,4816652.73671224
190,1564,1,432430.599794176,4816652.73671224
191,2566,1,436624.776218965,4849633.3770166
192,2579,1,439793.290106288,4848526.80467508
193,2235,1,418899.344264995,4844777.01553015
194,1879,1,419594.220576103,4844149.04562178
195,1879,1,420242.080422938,4844137.93993484
196,654,1,420508.631009422,4844482.53173207
197,2520,1,417837.439303535,4845773.86405686
198,878,1,418451.85212112,4856306.89043657
199,2378,1,418451.830217754,4856306.89055695
200,947,1,421970.445904018,4834083.04736448
201,1437,1,399869.239091365,4832350.8816775
202,919,1,399339.462090519,4832121.58879497
203,2065,1,422550.033979607,4852167.60360674
204,674,1,414553.42142153,4832177.0762751
205,664,1,414553.42142153,4832177.0762751
206,2222,1,415225.044134099,4832268.23010112
207,961,1,415489.436099287,4833741.20609606
208,354,1,416245.559983828,4829217.27125364
209,652,1,428432.589522246,4834465.85655678
210,2241,1,422941.580328425,4823204.06578728
211,2553,1,418589.465897194,4823989.50129018
212,316,1,397529.307199859,4818956.82364792
213,1886,1,398852.175741062,4817114.98113764
214,455,1,399315.606149054,4817110.56577604
215,805,1,400761.477645745,4818473.06795897
216,580,1,437964.591792036,4824633.59496544
217,2520,1,424143.94586256,4845715.45577081
218,409,1,425362.4065,4847320.21575994
219,932,1,398750.106207728,4826762.40884043
220,807,1,402438.03263662,4823506.0368304
221,771,1,403115.550768931,4825104.19205967
222,935,1,396748.395082695,4820790.01467876
223,919,1,399175.516953111,4821951.93906207
224,2522,1,394375.845890897,4824867.1684569
225,1881,1,395326.100467598,4826834.60110219
226,1420,1,397661.652144702,4827595.62324522
227,1881,1,398750.106207728,4826762.40884043
228,1269,1,399254.694322907,4826489.13264181
229,1255,1,399254.694322907,4826489.13264181
230,2524,1,399254.694322907,4826489.13264181
231,2201,1,399254.694322907,4826489.13264181
232,1561,1,399254.694322907,4826489.13264181
233,933,1,399254.694322907,4826489.13264181
234,805,1,400908.689231977,4826731.89943499
235,1491,1,404128.371521536,4826288.61408929
236,2520,1,422937.811920024,4845726.41455472
237,848,1,423015.686658089,4845847.00873788
238,323,1,422009.600468698,4835794.03907574
239,322,1,421225.476547357,4836876.58591191
240,2566,1,436648.32470888,4852456.8842
241,1390,1,418914.922592087,4818429.21912674
242,769,1,416920.042291382,4819863.96355546
243,1069,1,416246.4269,4820072.83394783
244,768,1,417034.2453,4821666.57561193
245,2581,1,444779.247202056,4843900.4597
246,1333,1,442136.94715522,4840725.67470909
247,768,1,423818.6100493,4821583.39739727
248,1499,1,425010.436560662,4821168.09965661
249,2329,1,426606.284940121,4820470.58997962
250,2450,1,429806.310353312,4817890.27064355
251,2255,1,436006.338251317,4851042.39375339
252,657,1,427101.346160351,4845684.52547542
253,845,1,422061.474530463,4850564.01671947
254,320,1,425030.882604372,4822815.27236544
255,779,1,425030.882604372,4822815.27236544
256,1963,1,416528.762053242,4848422.44874506
257,734,1,417946.987208476,4847365.35162489
258,1465,1,419403.224447326,4854826.20217289
259,2713,1,419403.224447326,4854826.20217289
260,1633,1,419032.095459927,4854617.55596622
261,2387,1,419934.544671493,4850584.14520788
262,323,1,421970.445904018,4834083.04736448
263,2198,1,422822.725292737,4833621.04268158
264,321,1,426829.298819535,4834986.54438973
265,1613,1,447795.679373866,4845087.83591504
266,1938,1,446196.375159511,4845082.35967811
267,1332,1,446195.22268788,4843875.71187386
268,2217,1,420043.544293044,4832891.92164909
269,961,1,420106.184401467,4833674.88084044
270,474,1,418666.7429,4827684.22867486
271,2553,1,418644.026588249,4827752.46190445
272,2553,1,418618.223934635,4825979.69326029
273,461,1,414153.043187176,4823308.71196934
274,569,1,420177.483196361,4821534.28273708
275,1499,1,424961.457590335,4817447.66933166
276,320,1,424961.457590335,4817447.66933166
277,1390,1,423806.694585462,4818366.85794698
278,2438,1,421777.994140364,4820806.60961123
