cat,a_cat,a_osm_id,a_code,a_fclass,a_name,a_ref,a_oneway,a_maxspeed,a_layer,a_bridge,a_tunnel,b_cat,to_x,to_y
40,251171,"18271971",5113,"primary","State Highway 30","MN 30","B",96,0,"F","F",1,461619.085748507,4859958.29207856
41,254929,"18276150",5122,"residential","55th Street",,"B",0,0,"F","F",1,447195.364272553,4860083.67108181
42,390151,"249226199",5115,"tertiary","70th Street","CR 11","B",88,0,"F","F",1,449595.533927507,4858007.28565598
43,255736,"18277122",5122,"residential","80th Street",,"B",0,0,"F","F",1,451195.083704277,4857896.13910797
44,255646,"18277009",5122,"residential","220th Avenue",,"B",0,0,"F","F",1,463500.932276704,4858332.40516211
45,251171,"18271971",5113,"primary","State Highway 30","MN 30","B",96,0,"F","F",1,463548.000312231,4859944.27595805
46,436543,"432388302",5115,"tertiary","50th Street","CR 33","B",0,0,"F","F",1,446581.690704586,4882985.0839354
47,287013,"44447463",5114,"secondary","Old Highway 14","CR 14","B",0,0,"F","F",1,442217.416682552,4885029.09010257
48,826162,"1157010004",5122,"residential","380th Avenue",,"B",0,0,"F","F",1,442170.908901803,4884243.8148217
49,255032,"18276276",5115,"tertiary","360th Avenue","CR 2","B",80,0,"F","F",1,440821.601147392,4881011.84500439
50,255286,"18276581",5122,"residential","45th Street",,"B",0,0,"F","F",1,445586.542585226,4860521.34793625
51,581233,"763471748",5113,"primary","State Highway 30","MN 30","B",96,0,"F","F",1,445978.88060982,4860050.10256804
52,251533,"18272378",5115,"tertiary",,"CH 18","B",0,0,"F","F",1,442026.598203256,4889057.60804399
53,255181,"18276453",5122,"residential","415th Avenue",,"B",0,0,"F","F",1,440801.912742513,4889875.56959938
54,255181,"18276453",5122,"residential","415th Avenue",,"B",0,0,"F","F",1,439927.869853817,4889882.12216722
55,253995,"18275096",5141,"service",,,"B",0,0,"F","F",1,465848.77897796,4888266.69528502
56,408147,"306074978",5115,"tertiary","West Elm Avenue","CR 14","B",72,0,"F","F",1,456700.260535758,4881283.57278464
57,408143,"306074974",5115,"tertiary","360th Avenue","CR 2","B",88,0,"F","F",1,452785.837396839,4880954.40253417
58,255928,"18277359",5122,"residential","170th Street",,"B",0,0,"F","F",1,465787.556219746,4870231.42968213
59,255181,"18276453",5122,"residential","415th Avenue",,"B",0,0,"F","F",1,439768.85801802,4889885.6053374
60,254636,"18275815",5141,"service",,,"B",0,0,"F","F",1,453158.199447227,4873160.11192585
61,255858,"18277270",5115,"tertiary","155th Street","CR 5","B",0,0,"F","F",1,463407.535486383,4873473.69622505
62,809695,"1110761121",5141,"service",,,"B",0,0,"F","F",1,453604.616385971,4871965.93327446
63,252257,"18273173",5122,"residential",,,"B",0,0,"F","F",1,447314.173007366,4872780.44583267
64,251187,"18271989",5115,"tertiary","375th Avenue",,"B",88,0,"F","F",1,461014.234866191,4883338.3060188
65,254886,"18276097",5122,"residential","25th Street",,"B",0,0,"F","F",1,442522.96499763,4882091.20341678
66,287012,"44447420",5115,"tertiary","Old Highway 14","CR 14","B",88,0,"F","F",1,453356.222323663,4882728.45931723
67,255024,"18276267",5122,"residential","Ash Avenue South",,"B",0,0,"F","F",1,460220.643982503,4860012.63753675
68,255292,"18276587",5122,"residential","Aspen Avenue South",,"B",0,0,"F","F",1,460516.076110137,4860129.29766378
69,255007,"18276250",5122,"residential","205th Avenue",,"B",0,0,"F","F",1,452812.252165241,4855977.56039854
70,255521,"18276869",5122,"residential","6th Street",,"B",0,0,"F","F",1,439496.894916043,4880289.27263504
