cat,a_cat,b_cat,to_x,to_y
187,1011,1,413678.063236263,4961342.25996089
188,2121,1,382804.25934167,4944717.13121002
189,895,1,383159.527643019,4945318.47664448
190,2121,1,382836.490152478,4946712.78657747
191,1520,1,406435.683843386,4974488.13122575
192,2481,1,385360.070084222,4963957.86826928
193,3305,1,384818.679412286,4965585.76309683
194,1135,1,394056.178774384,4971055.38909318
195,1024,1,399361.671509987,4969742.04066436
196,1024,1,399281.476331578,4967530.23930666
197,1539,1,400928.075697949,4967908.58366925
198,1795,1,382710.128489992,4978520.14216332
199,3211,1,414802.796574328,4960154.08859135
200,898,1,387545.111802732,4942855.8599744
201,2956,1,387545.090000806,4942855.86008888
202,1912,1,387545.090000806,4942855.86008888
203,229,1,418141.223512653,4958452.98760932
204,1792,1,400674.72075039,4971774.93771213
205,2380,1,414802.822051225,4960154.08809522
206,3323,1,395264.058732059,4942743.24617211
207,1174,1,395264.058732059,4942743.24617211
208,1822,1,395264.058732059,4942743.24617211
209,1680,1,395264.058732059,4942743.24617211
210,2540,1,395264.058732059,4942743.24617211
211,3080,1,415195.627543962,4961947.10201498
212,1898,1,406232.312090871,4955469.64738666
213,1900,1,406202.581334569,4955482.22246537
214,1055,1,406232.312090871,4955469.64738666
215,688,1,399077.705700084,4973421.10892387
216,2381,1,413603.338652581,4955747.88791652
217,260,1,381581.387345094,4942923.49257291
218,1788,1,381581.387345094,4942923.49257291
219,931,1,381581.387345094,4942923.49257291
220,3304,1,384816.45981934,4966770.88503143
221,3309,1,384794.124563759,4966193.04009888
222,2913,1,384818.679412286,4965585.76309683
223,3313,1,384794.159145812,4966196.6527085
