from_cat,dist,cat,to_x,to_y
43,0,10,222956.8153,5218780.5934
43,0,10,222956.8153,5218780.5934
44,0,10,223778.7177,5218742.1657
44,0,10,223778.7177,5218742.1657
45,0,10,224565.3259,5218707.7898
45,0,10,224565.3259,5218707.7898
46,0,10,224588.611,5218706.7621
46,0,10,224588.611,5218706.7621
47,0,10,225095.1008,5218681.4023
47,0,10,225095.1008,5218681.4023
48,0,10,227430.2383,5218571.2618
48,0,10,227430.2383,5218571.2618
49,0,10,225390.2259,5218678.6799
49,0.914825295016271,10,225391.139704717,5218678.63669978
50,0,10,225392.0536,5218678.5934
50,0.914920461073907,10,225391.139700223,5218678.63660472
51,0.914872879280637,10,225391.13975,5218678.63665
51,0,10,225391.0965,5218677.7228
52,0.914768264196656,10,225391.139654946,5218678.6366545
52,0,10,225391.1829,5218679.5504
53,0,10,215731.1161,5219174.5921
53,0,10,215731.1161,5219174.5921
54,0,10,215621.9812,5219218.5691
55,0,11,218965.8056,5174687.7148
55,0,11,218965.8056,5174687.7148
56,0,11,218942.7955,5173902.4927
57,0,11,214082.277,5175669.2263
58,0,11,218965.8056,5174687.7148
58,0,11,218965.8056,5174687.7148
59,0,12,223828.6045,5189805.761
59,0.590211390928165,72,223829.191876252,5189805.81878084
60,0,12,223832.4591,5189799.5463
60,0,12,223832.4591,5189799.5463
60,0.883008846571486,72,223833.103242079,5189800.15027484
61,0,12,229315.938,5187975.5232
61,0,12,229315.938,5187975.5232
62,0,12,232183.6928,5186206.8873
63,0,12,229315.938,5187975.5232
63,0,12,229315.938,5187975.5232
64,0,12,223832.4591,5189799.5463
64,0,12,223832.4591,5189799.5463
64,0.883008846571486,72,223833.103242079,5189800.15027484
65,0,13,231385.0752,5211894.2473
66,0,13,217551.2701,5212470.8243
67,0,14,213815.8868,5177148.9455
68,0,14,216657.2727,5177205.0492
69,0,15,231414.2124,5200743.3818
70,0,15,227568.0694,5199926.8319
71,0,16,224741.0682,5200064.0334
72,0,16,227600.0386,5196110.175
73,0,17,223833.9879,5191415.5667
74,0,17,224991.0219,5191370.8795
74,0,17,224991.0219,5191370.8795
75,0,17,224991.0219,5191370.8795
75,0,17,224991.0219,5191370.8795
76,0,17,228654.6992,5191226.0586
77,0,18,240364.6703,5159576.0912
78,0,18,234993.8221,5161858.9143
79,0,19,239231.4677,5164932.0479
80,0,19,237622.8092,5164979.7154
81,0,19,237611.4111,5164980.7583
82,0,19,237201.3522,5164994.8982
82,0,19,237201.3522,5164994.8982
83,0,19,239239.3363,5164932.008
84,0,19,239939.1081,5164911.3059
84,0,19,239939.1081,5164911.3059
85,0,19,240109.6169,5165003.2134
85,0,19,240109.6169,5165003.2134
86,0,19,240159.4088,5164904.0231
86,0,19,240159.4088,5164904.0231
87,0,19,240159.4088,5164904.0231
87,0,19,240159.4088,5164904.0231
88,0.00024962744388222,19,242180.956688224,5164824.92875065
88,0,19,242180.9567,5164824.929
89,0,19,242180.8773,5164824.9325
89,1.44225988197698e-05,19,242180.877300638,5164824.93251441
90,0,19,242772.4476,5164796.9938
90,0,19,242772.4476,5164796.9938
91,0,19,242772.4476,5164796.9938
91,0,19,242772.4476,5164796.9938
92,0,19,243065.4746,5164783.7076
93,0,19,235991.8313,5164926.5626
94,0,19,237201.3522,5164994.8982
94,0,19,237201.3522,5164994.8982
95,0,19,239939.1081,5164911.3059
95,0,19,239939.1081,5164911.3059
96,0,19,240109.6169,5165003.2134
96,0,19,240109.6169,5165003.2134
97,0,20,215313.2854,5197945.2672
98,0,20,218379.0692,5191656.1692
99,0,21,215576.788,5214214.5824
100,0,21,222792.773,5213867.9793
101,0,22,215293.3164,5198613.2001
101,0.996513534983497,132,215292.714592639,5198612.40582856
102,0,22,218557.6307,5198086.3936
103,0,23,234496.2162,5196825.1874
104,0,23,234352.0875,5193362.4964
105,0,24,228399.3308,5172661.0405
106,0,24,231839.7202,5172495.5232
107,0,25,213710.1556,5204715.6302
108,0,25,214829.1889,5204648.3235
109,0,26,210410.8699,5190295.1483
110,0,26,221352.678,5189891.0619
111,0,27,236590.3975,5139200.9998
112,0,27,241119.1017,5139003.1458
113,0,28,223925.6394,5143111.2199
114,0,28,233425.7215,5141732.311
115,0,29,218203.0493,5159391.771
116,0,29,221833.9718,5159221.3245
