cat,lcat,along,elev
414,73,412.817676129567,375.6726
415,73,413.817234667411,375.6739
416,73,414.816793205255,375.6901
417,73,415.816351743099,375.6901
418,73,416.815910280943,375.7517
419,73,417.815468818787,375.7112
420,73,418.815027356631,375.6482
421,73,419.814585894475,375.6864
422,73,420.814144432319,375.698
423,73,421.813702970163,375.6915
424,73,422.813261508007,375.687
425,73,423.812820045851,375.6835
426,73,424.812378583695,375.6807
427,73,425.811937121539,375.6799
428,73,426.811495659383,375.6905
429,73,427.811054197227,375.6891
430,73,428.810612735071,375.6577
431,73,429.810171272915,375.6769
432,73,430.809729810759,375.687
433,73,431.809288348603,375.6911
434,73,432.808846886447,375.6949
435,73,433.808405424291,375.6659
436,73,434.807963962135,375.6663
437,73,435.807522499979,375.6908
438,73,436.807081037823,375.6934
439,73,437.806639575667,375.6776
440,73,438.806198113511,375.6628
441,73,439.805756651355,375.6372
442,73,440.805315189199,375.6503
443,73,441.804873727043,375.6623
444,73,442.804432264887,375.7255
445,73,443.803990802731,375.7379
446,73,444.803549340575,375.778
447,73,445.803107878419,375.7764
448,73,446.802666416263,375.764
449,73,447.802224954107,375.7621
450,73,448.801783491951,375.7288
451,73,449.801342029795,375.803
452,73,450.800900567639,375.803
453,73,451.800459105483,375.753
454,73,452.800017643327,375.6705
455,73,453.799576181171,375.739
456,73,454.799134719015,375.825
457,73,455.798693256859,375.8114
458,73,456.798251794703,375.7684
459,73,457.797810332547,375.707
460,73,458.797368870391,375.712
461,73,459.796927408235,375.717
462,73,460.796485946079,375.7147
463,73,461.796044483923,375.7009
464,73,462.795603021767,375.7243
465,73,463.795161559611,375.7332
466,73,464.794720097455,375.7213
467,73,465.794278635299,375.6786
468,73,466.793837173143,375.6637
469,73,467.793395710987,375.6632
470,73,468.792954248831,375.6721
471,73,469.792512786675,375.6785
472,73,470.792071324519,375.6882
473,73,471.791629862363,375.6831
474,73,472.791188400207,375.6854
475,73,473.790746938051,375.6854
476,73,474.790305475895,375.6772
477,73,475.789864013739,375.6654
478,73,476.789422551583,375.6501
479,73,477.788981089426,375.6402
480,73,478.78853962727,375.6691
481,73,479.788098165114,375.6736
482,73,480.787656702958,375.6522
483,73,481.787215240802,375.6562
484,73,482.786773778646,375.6393
485,73,483.78633231649,375.6785
486,73,484.785890854334,375.6899
487,73,485.785449392178,375.6989
488,73,486.785007930022,375.6912
489,73,487.784566467866,375.6725
490,73,488.78412500571,375.6437
491,73,489.783683543554,375.6758
492,73,490.783242081398,375.6576
493,73,491.782800619242,375.6545
494,73,492.782359157086,375.6609
495,73,493.78191769493,375.6622
496,73,494.781476232774,375.6511
497,73,495.781034770618,375.6425
498,73,496.780593308462,375.6639
499,73,497.780151846306,375.6729
500,73,498.77971038415,375.6688
501,73,499.779268921994,375.6658
502,73,500.778827459838,375.6812
503,73,501.778385997682,375.6732
504,73,502.777944535526,375.6519
505,73,503.77750307337,375.6323
506,73,504.777061611214,375.6302
507,73,505.776620149058,375.6497
508,73,506.776178686902,375.6693
509,73,507.775737224746,375.6862
510,73,508.77529576259,375.6581
511,73,509.774854300434,375.6348
512,73,510.774412838278,375.6657
513,73,511.773971376122,375.7005
514,73,512.773529913966,375.6654
515,73,513.77308845181,375.6578
516,73,514.772646989654,375.6576
517,73,515.772205527498,375.6443
518,73,516.771764065342,375.6494
519,73,517.771322603186,375.6525
520,73,518.77088114103,375.6584
521,73,519.770439678874,375.6599
522,73,520.769998216718,375.6882
523,73,521.769556754562,375.7204
524,73,522.769115292406,375.6937
525,73,523.76867383025,375.6699
526,73,524.768232368094,375.65
