cat,a_cat,b_cat,to_x,to_y
100,1915,1,456593.671445952,4914362.10405881
101,87,1,485456.34761878,4898572.68403506
102,173,1,485323.501134476,4899762.27768663
103,2983,1,472134.618672557,4930717.30414839
104,2069,1,471944.882363342,4930768.30461814
105,758,1,475488.432980168,4889425.50955263
106,1573,1,474937.866811355,4890556.69272685
107,1363,1,454783.733534828,4913162.94003314
108,1799,1,454978.90374018,4913601.94847185
109,1732,1,463190.254206116,4928794.75180019
110,384,1,462774.918972262,4927603.73571841
111,1963,1,462524.330774051,4925992.25911357
112,2347,1,459947.300837018,4930930.09329604
113,2349,1,459782.107035929,4930006.87968331
114,806,1,474889.201069176,4892153.07896556
115,258,1,476308.607723479,4895346.89000787
116,2972,1,478185.73871625,4895311.98143113
117,2052,1,480619.012046688,4896209.82865688
118,377,1,461589.657894948,4924364.10011302
119,254,1,461590.940905531,4925991.1073537
120,381,1,460425.224186045,4900234.68894416
121,2229,1,469527.110774081,4916809.16588545
122,1930,1,468180.647394208,4916956.90273452
123,1445,1,454928.619924439,4903505.74074246
124,1799,1,454868.523585758,4904049.73901223
125,1245,1,466350.919686228,4919528.71756228
126,2098,1,480760.056648281,4919518.36734131
127,2098,1,480755.938744112,4919521.73981829
128,3053,1,487076.861752795,4901650.85799293
129,2129,1,469804.521089998,4932759.5546205
130,2526,1,469809.835226577,4932655.82369247
131,2526,1,469810.355567383,4932653.74873665
132,1732,1,463151.140473824,4924136.51348257
133,377,1,463045.976772691,4924368.43809586
134,2681,1,461549.235911641,4925658.48099253
135,2681,1,461549.480381833,4925932.89431558
136,1091,1,456894.856345801,4905058.06071056
137,3361,1,452461.872442613,4905894.14982821
138,2204,1,451967.208443798,4905990.31755836
139,2950,1,454275.738520003,4906162.89971322
140,2069,1,469571.956644538,4931457.00053728
141,2204,1,453372.616097816,4923529.30496023
142,2451,1,461818.07927241,4919544.67152529
143,1651,1,473952.436865137,4925151.18904049
144,1355,1,473952.456915158,4925151.18912331
145,1651,1,473533.543186562,4925154.55251442
146,1355,1,473533.563528797,4925154.5515893
147,1916,1,456593.671445952,4914362.10405881
148,765,1,473935.910217892,4890547.4060872
149,807,1,473878.484096344,4891487.58484809
150,679,1,454573.756281622,4905302.88258019
151,679,1,454868.523585758,4904049.73901223
152,3236,1,456019.428332891,4926020.62077894
153,199,1,480760.056648281,4919518.36734131
154,199,1,480755.938744112,4919521.73981829
155,1290,1,461554.792490929,4903409.35485527
156,3030,1,481927.192304711,4907187.66863153
157,2441,1,484328.561314789,4908430.63356286
158,949,1,484328.561314789,4908430.63356286
159,2049,1,462542.905722341,4927169.79670835
160,2721,1,472134.618672557,4930717.30414839
161,298,1,472185.181710129,4930656.7461317
162,2066,1,471982.756874212,4930719.54397527
