cat,x,y
306,409807.169815907,4977800.40729724
307,409795.835534855,4977752.7435664
308,409795.860620373,4977752.84036886
309,409627.139617549,4977608.78716301
310,409627.04448278,4977608.75635108
311,409579.913034791,4977594.55859292
312,409580.005813926,4977594.59590287
313,409572.906167298,4977592.44329579
314,409572.810135755,4977592.41540416
315,409527.317336775,4977573.88495304
316,409527.414352609,4977573.90920027
317,409498.071066783,4977560.06250201
318,409497.971257572,4977560.05632775
319,409453.236904244,4977538.58979485
320,409453.313285322,4977538.65433887
321,409319.104643441,4977314.72530142
322,409319.092271498,4977314.62606969
323,409295.485965354,4977272.91787277
324,409295.568657781,4977272.9741041
325,408342.561972127,4976843.22273837
326,408342.483702017,4976843.16049859
327,408301.829317426,4976815.25512511
328,408301.90628721,4976815.31896595
329,411255.515065487,4980304.08765316
330,411255.60790753,4980304.12480629
331,411302.104058536,4980308.17882762
332,411302.010083305,4980308.21301323
333,411534.926303112,4980356.18788812
334,411535.026180127,4980356.19284613
335,411583.732440001,4980355.60355039
336,411583.633258102,4980355.61631561
337,412350.598438287,4979648.16726573
338,412350.574024314,4979648.07029172
339,412340.806938205,4979599.55844712
340,412340.827092713,4979599.65639505
341,412319.746902993,4979349.5846044
342,412319.747499308,4979349.48460618
343,412320.909038679,4979299.84400286
344,412320.881149233,4979299.94003503
345,412448.669212625,4979267.76022599
346,412448.767416787,4979267.74135955
347,412497.247978704,4979267.89100665
348,412497.147981596,4979267.89024607
349,412743.049363587,4979282.59094878
350,412743.149347796,4979282.59272585
351,412792.775710375,4979283.13079254
352,412792.675962263,4979283.13788578
353,413289.015088432,4979458.10692722
354,413289.109223247,4979458.14067091
355,413328.57613748,4979484.4613637
356,413328.506079315,4979484.39000648
357,382682.446998504,4978547.12269522
358,382682.371893237,4978547.18871945
359,382641.527147986,4978575.51928834
360,382641.60845085,4978575.46106597
361,382700.678858323,4978799.11218519
362,382700.73895082,4978799.19211573
363,382733.715018035,4978833.16748223
364,382733.639274725,4978833.10219095
365,382769.956263312,4979397.75537922
366,382770.006021331,4979397.84212102
367,382795.111750795,4979440.08006108
368,382795.066035286,4979439.99112238
369,382796.375510936,4979442.53868368
370,382796.421226445,4979442.62762237
371,382796.31038646,4979492.2507183
372,382796.311995194,4979492.15073124
373,419756.39147333,4978014.87516005
374,419756.427675264,4978014.78194299
375,419796.774041169,4977986.07956899
376,419796.702965766,4977986.14991305
377,419821.879168494,4977965.97825793
378,419821.919376366,4977965.88669742
379,419850.645645631,4977929.52999289
380,419850.550162254,4977929.55970694
381,419869.266207441,4977918.55077654
382,419869.333962495,4977918.47722891
383,419903.190079194,4977883.91852469
384,419903.09483246,4977883.94898876
385,419935.193273288,4977836.0144492
386,419935.24639222,4977835.92972388
387,419974.256144056,4977806.99443363
388,419974.179659948,4977807.05885553
389,399718.969372615,4976818.39614777
390,399719.067334962,4976818.37606348
391,399763.63553198,4976799.49081153
392,399763.548075374,4976799.53930216
393,399928.565648879,4976397.32784224
394,399928.522362565,4976397.23769627
395,399917.89754827,4976348.80017974
396,399917.937466056,4976348.8918671
397,401821.696611914,4978980.71145075
398,401821.789414901,4978980.67420017
399,401868.362963267,4978963.63440529
400,401868.265059185,4978963.6547717
401,408530.42523589,4977674.33555203
402,408530.345993136,4977674.27455542
403,408490.470147709,4977645.20619692
404,408490.535887428,4977645.28155134
405,408408.694747515,4977583.12259348
406,408408.604715099,4977583.07907148
407,408370.187103837,4977551.7223358
408,408370.265971753,4977551.7838163
409,408171.418608774,4977046.18910693
410,408171.366131743,4977046.10398255
411,408145.710101489,4977003.88715665
412,408145.779565593,4977003.95909231
413,338572.844030579,5056523.93518313
414,338572.943127243,5056523.92177228
415,338603.601780073,5056510.61162122
416,338603.567440928,5056510.70554045
417,334905.402028351,5041349.49840047
418,334905.475619538,5041349.43069273
419,334927.443234142,5041328.0201137
420,334927.369520427,5041328.08768802
421,334595.411283325,5041555.39721529
422,334595.494488354,5041555.34174527
423,334634.453020417,5041524.8236541
424,334634.375760444,5041524.88714345
425,331693.265298424,5051518.78303302
426,331693.30918583,5051518.87288787
427,331725.076280091,5051554.9470823
428,331725.012395838,5051554.87014855
429,331246.325473487,5056402.13056241
430,331246.262228431,5056402.05310234
431,331214.204492154,5056364.47203474
432,331214.286679892,5056364.52900118
433,331329.44320985,5056507.36364213
434,331329.417685031,5056507.26695457
435,331311.278955137,5056480.40192994
436,331311.349467577,5056480.4728383
437,335791.101313467,5048606.60223535
438,335791.124173143,5048606.69958747
439,335809.088631443,5048652.58291927
440,335809.065771767,5048652.48556715
441,341296.267771198,5047938.46295262
442,341296.267556602,5047938.36295285
443,341296.074337036,5047923.60763309
444,341296.077724866,5047923.70757569
445,341538.438250914,5047988.93929868
446,341538.339452486,5047988.92384324
447,341489.079403807,5047984.37142181
448,341489.178712693,5047984.3831583
449,341766.618247571,5048109.06673344
450,341766.532727797,5048109.01490326
451,341724.827163557,5048082.28094793
452,341724.894181935,5048082.35516745
453,341978.455003682,5048235.39444971
454,341978.367587952,5048235.34588542
455,341935.995107057,5048209.61895998
456,341936.076040375,5048209.67769497
457,342665.43730944,5048378.84793994
458,342665.368591965,5048378.92058916
459,342640.670160789,5048380.91812773
460,342640.769349763,5048380.90541759
461,337051.844847073,5043646.10948957
462,337051.84041515,5043646.20939131
463,337041.022837368,5043694.60012291
464,337041.037004867,5043694.50113159
465,336798.700467574,5053932.16234964
466,336798.682013526,5053932.06406715
467,336803.777269954,5053883.93088054
468,336803.743759866,5053884.02509876
469,336606.903622221,5043075.41098729
470,336606.99770203,5043075.44488405
471,336621.077082178,5043102.08511867
472,336621.176671074,5043102.07606043
473,342280.896285549,5051821.72861485
474,342280.876420508,5051821.63060781
475,342276.490716721,5051772.25601869
476,342276.50072143,5051772.35551696
477,342500.577384197,5041837.04207417
478,342500.627956131,5041837.12834398
479,342528.270367334,5041878.37438941
480,342528.220075526,5041878.287956
481,342691.14719743,5042186.90397303
482,342691.217051086,5042186.97553046
483,342724.85246701,5042223.08472932
484,342724.785826872,5042223.01017
485,342315.057027013,5051270.11765848
486,342315.100163053,5051270.02744051
487,342341.806186942,5051228.429011
488,342341.742539769,5051228.506141
489,342411.306040242,5051129.50519504
490,342411.361510276,5051129.42199002
491,342436.491353925,5051087.136738
492,342436.44444318,5051087.22505211
493,342453.313090671,5051063.67065366
494,342453.37656882,5051063.59338449
495,342484.839851539,5051025.68142988
496,342484.771118681,5051025.75406454
497,342747.037166808,5050768.05579267
498,342747.109306465,5050767.98654045
499,342782.968653604,5050733.80484417
500,342782.889977759,5050733.86657027
501,342801.271207878,5050715.20282408
502,342801.328356504,5050715.12076292
503,342837.258930385,5050681.10119699
504,342837.18560088,5050681.16918805
505,326610.773964011,5054334.74942479
506,326610.873914605,5054334.74628172
507,326658.151752009,5054323.34684459
508,326658.053592532,5054323.32774702
509,338153.968658134,5038048.97153322
510,338154.029780612,5038048.89238752
511,338172.500124185,5038004.53879051
512,338172.496000255,5038004.63870544
513,338074.48354012,5038150.25842191
514,338074.544662599,5038150.17927621
515,338105.64075525,5038111.5499172
516,338105.579632771,5038111.6290629
517,340823.875745104,5049011.01860769
518,340823.971584648,5049010.99006331
519,340868.755001761,5049031.86778509
520,340868.663518504,5049031.82740175
521,336496.316570377,5043040.51541511
522,336496.414979315,5043040.53318252
523,336543.3927107,5043056.19074332
524,336543.296558305,5043056.16327121
525,336111.618824928,5042543.69776399
526,336111.718741367,5042543.70185119
527,336128.908864472,5042541.7124989
528,336128.809165225,5042541.72024875
529,336862.397522784,5042825.2017438
530,336862.414646261,5042825.30026683
531,336901.917758446,5042854.43921686
532,336901.865247692,5042854.35411327
533,335119.487329329,5044284.72743999
534,335119.540523968,5044284.81163991
535,335143.04438328,5044292.45049077
536,335143.036353443,5044292.55016786
537,331866.420396073,5051765.06618095
538,331866.51988134,5051765.07631415
539,331914.413427206,5051753.47879848
540,331914.317303642,5051753.5063713
541,331240.295207097,5051938.02532294
542,331240.380307407,5051937.97280688
543,331288.481252466,5051925.95892373
