cat,a_cat,a_osm_id,a_code,a_fclass,a_name,a_ref,a_oneway,a_maxspeed,a_layer,a_bridge,a_tunnel,b_cat,to_x,to_y
225,233076,"18250900",5122,"residential","8th Street East",,"B",0,0,"F","F",1,391910.756952155,4933563.31303552
226,231294,"18248903",5141,"service",,,"B",0,0,"F","F",1,392007.012708332,4932661.65352565
227,233426,"18251292",5122,"residential","276th Street",,"B",0,0,"F","F",1,386269.004133583,4933995.34826398
228,233402,"18251265",5122,"residential","591st Avenue",,"B",0,0,"F","F",1,384514.567972032,4928531.95739304
229,232522,"18250283",5115,"tertiary","330th Street","CR 8","B",0,0,"F","F",1,396456.293267686,4925048.67342543
230,233693,"18251588",5122,"residential","535th Avenue",,"B",0,0,"F","F",1,393309.083090494,4926737.10551072
231,233488,"18251361",5122,"residential","571st Avenue",,"B",0,0,"F","F",1,387580.267482597,4939499.78186037
232,232330,"18250056",5122,"residential","561Stave",,"B",0,0,"F","F",1,389207.348984759,4940489.5902189
233,151370,"18152389",5112,"trunk","State Highway 15","MN 15","B",96,0,"F","F",1,390815.987738996,4940976.13088989
234,230794,"18248237",5122,"residential","236th Street",,"B",0,0,"F","F",1,391521.022464846,4940374.85888852
235,233503,"18251376",5122,"residential","246th Street",,"B",0,0,"F","F",1,392915.091695294,4938716.0322151
236,232601,"18250373",5122,"residential","300th Street",,"B",0,0,"F","F",1,405969.124449617,4929699.85886328
237,232946,"18250758",5114,"secondary","270th Street","MN 19","B",0,0,"F","F",1,415436.923287426,4934395.24732821
238,230779,"18248214",5122,"residential","401st Avenue",,"B",0,0,"F","F",1,414828.318646142,4933418.73912349
239,232906,"18250713",5115,"tertiary","County Highway 9","CR 9","B",0,0,"F","F",1,413305.439865095,4927896.43462625
240,233012,"18250831",5122,"residential","320th Street",,"B",0,0,"F","F",1,411210.394756661,4926440.65885376
241,232854,"18250653",5115,"tertiary","431st Avenue","CR 8","B",0,0,"F","F",1,410146.462895452,4925967.44054434
242,233022,"18250841",5115,"tertiary","320th Street","CR 8","B",0,0,"F","F",1,406111.764465927,4926476.45132267
243,233614,"18251504",5122,"residential","325th Avenue",,"B",0,0,"F","F",1,427065.395175313,4942659.97450271
244,232799,"18250591",5115,"tertiary","331st Avenue","CR 16","B",0,0,"F","F",1,426248.296204026,4942252.83228715
245,57635,"18037585",5122,"residential","182nd Street",,"B",0,0,"F","F",1,430235.989118669,4947054.87357117
246,233454,"18251322",5115,"tertiary","311th Avenue","CR 5","B",88,0,"F","F",1,429544.900915618,4946665.42336706
247,503897,"667688743",5122,"residential","325th Avenue",,"B",0,0,"F","F",1,427519.103142836,4946497.65174048
248,414664,"329915677",5115,"tertiary","336th Street","CR 8","B",88,1,"T","F",1,416540.539330654,4924169.49887632
249,233740,"18251642",5122,"residential","312th Street",,"B",0,0,"F","F",1,382508.240547905,4928041.85572394
250,411600,"318323464",5122,"residential","611th Avenue",,"B",0,0,"F","F",1,381360.111636407,4927570.83002096
251,233402,"18251265",5122,"residential","591st Avenue",,"B",0,0,"F","F",1,384494.54534348,4926142.91333755
252,232825,"18250619",5115,"tertiary","601st Avenue","CR 3","B",0,0,"F","F",1,382897.295969067,4926742.07338692
253,414634,"329892460",5122,"residential","228th Street",,"B",0,0,"F","F",1,419884.742374805,4941127.10497707
254,232751,"18250539",5115,"tertiary","County Highway 12",,"B",0,0,"F","F",1,420151.177826394,4940731.58113095
255,232751,"18250539",5115,"tertiary","County Highway 12",,"B",0,0,"F","F",1,420810.924015694,4940720.31001366
256,232767,"18250556",5115,"tertiary","190th Street",,"B",0,0,"F","F",1,408534.57528489,4941322.40974081
257,233679,"18251572",5122,"residential","447th Avenue",,"B",0,0,"F","F",1,407326.332111664,4941287.0125377
258,232373,"18250107",5122,"residential","220th Street",,"B",0,0,"F","F",1,408552.697110577,4942547.76661833
259,232767,"18250556",5115,"tertiary","190th Street",,"B",0,0,"F","F",1,408594.71700183,4944552.57054265
260,233229,"18251073",5122,"residential","County Road 52",,"B",0,0,"F","F",1,378966.426314075,4949407.51729779
261,411596,"318322873",5122,"residential","631st Avenue",,"B",0,0,"F","F",1,378046.82751201,4947248.40491799
262,233137,"18250968",5122,"residential","661st Avenue",,"B",0,0,"F","F",1,373160.381243525,4943421.27385061
263,233519,"18251400",5115,"tertiary","651st Avenue","CR 22","B",0,0,"F","F",1,374782.141985529,4943806.69247266
264,232376,"18250110",5142,"track","220th Street",,"B",0,0,"F","F",1,374737.521904487,4943008.23381377
265,934799,"1332464409",5115,"tertiary","210th Street","CR 7","B",0,0,"F","F",1,371151.693364911,4944667.67580504
266,233137,"18250968",5122,"residential","661st Avenue",,"B",0,0,"F","F",1,373197.711342537,4946028.52403862
267,233348,"18251205",5122,"residential","260th Street",,"B",0,0,"F","F",1,381907.020486168,4936473.458829
268,230768,"18248197",5113,"primary",,"MN 19","B",96,0,"F","F",1,371539.238526502,4931974.25535516
269,232370,"18250103",5122,"residential","520 Street",,"B",0,0,"F","F",1,370900.14819427,4929811.77191596
270,233488,"18251361",5122,"residential","571st Avenue",,"B",0,0,"F","F",1,387541.948854472,4936382.61976695
271,231028,"18248589",5141,"service",,,"B",0,0,"F","F",1,385916.653123674,4927865.72716712
272,394719,"256262832",5122,"residential","300th Street",,"B",0,1,"T","F",1,391021.37399034,4929942.21969719
273,394720,"256262833",5115,"tertiary","300th Street","CR 25","B",0,0,"F","F",1,389833.047080885,4929951.59840764
274,411604,"318324311",5115,"tertiary","491st Avenue","CR 26","B",0,0,"F","F",1,400417.492196723,4938539.47252868
275,230795,"18248238",5122,"residential","236th Street",,"B",0,0,"F","F",1,398991.691728184,4940117.63723038
276,233570,"18251456",5122,"residential","501st Avenue",,"B",0,0,"F","F",1,398842.926443189,4941457.6279653
277,232811,"18250605",5122,"residential","511th Avenue",,"B",0,0,"F","F",1,397235.081247424,4941859.17923109
278,233008,"18250825",5122,"residential","226th Street",,"B",0,0,"F","F",1,393003.271987128,4941950.89496901
279,233258,"18251107",5122,"residential","County Road 57",,"B",0,0,"F","F",1,393216.277207664,4942431.41921708
280,233112,"18250942",5122,"residential","445th Avenue",,"B",0,1,"F","F",1,407258.157603651,4937012.60297715
281,232966,"18250781",5122,"residential","481st Avenue",,"B",0,0,"F","F",1,402088.681547296,4926364.2864128
282,232550,"18250316",5115,"tertiary","371st Avenue","CR 11","B",0,0,"F","F",1,419939.5697423,4949337.96430349
