cat,a_cat,b_cat,to_x,to_y
108,426,1,226322.870765064,5257310.59250485
109,79,1,239499.676301472,5227447.59480477
110,2020,1,235068.478152292,5263403.68634268
111,547,1,236592.573207532,5261735.70664689
112,1882,1,224226.857907581,5246073.65094014
113,1492,1,228903.099465098,5243523.13321774
114,2496,1,218514.305109,5225433.69801672
115,87,1,215347.975938667,5227181.93996327
116,373,1,213674.502903798,5225630.16771972
117,1302,1,238660.233249754,5227714.19319944
118,2762,1,238660.233249754,5227714.19319944
119,1683,1,238660.258956998,5227714.19146865
120,1167,1,238660.258956998,5227714.19146865
121,2486,1,238660.258956998,5227714.19146865
122,1333,1,238660.258956998,5227714.19146865
123,2763,1,238660.258956998,5227714.19146865
124,407,1,323630.050912973,5257609.08233316
125,1191,1,322012.588581936,5257534.51084817
126,967,1,320412.709283847,5257981.57799264
127,1238,1,211622.275501385,5247515.32083055
128,273,1,221082.312420467,5245444.47299648
129,1862,1,231423.516155342,5228894.36964577
130,2107,1,237921.078661827,5228416.93013218
131,1200,1,218960.014484687,5231870.8525688
132,1301,1,218840.491016444,5232098.2306737
133,2003,1,220337.209307324,5230076.21541009
134,189,1,221282.072165377,5228545.10711454
135,1476,1,221282.072165377,5228545.10711454
136,124,1,221282.072165377,5228545.10711454
137,147,1,221282.050581961,5228545.10824247
138,3,1,221282.050581961,5228545.10824247
139,1302,1,221282.050581961,5228545.10824247
140,300,1,221282.072165377,5228545.10711454
141,2762,1,221282.050581961,5228545.10824247
142,1683,1,221282.072165377,5228545.10711454
143,369,1,237726.279557456,5224561.49500835
144,1110,1,211099.732812867,5267723.7156647
145,849,1,217466.09124887,5267412.59537973
146,1932,1,231872.796586532,5263534.60729937
147,932,1,231948.594365599,5265156.06171113
148,488,1,231766.787935549,5261928.65546879
149,1761,1,233456.887988855,5263450.13233057
150,264,1,225283.478560357,5234855.94239044
151,1774,1,226837.033638165,5233621.19161043
152,1079,1,228831.402297384,5233041.04164857
153,3555,1,255028.878003409,5215735.41960586
154,3021,1,255774.430748063,5215716.37660881
155,1068,1,241402.575137198,5259914.02188363
156,1175,1,241277.968507602,5256697.40076888
157,486,1,253715.530476035,5265634.22908442
158,2053,1,241807.842189465,5230014.34490919
159,1083,1,230008.319612922,5232458.30742462
160,926,1,222559.731810607,5245375.73098315
161,273,1,221069.980679994,5245212.62246126
162,1200,1,229419.77098886,5231396.33302232
163,1083,1,229924.830901203,5230563.84365429
164,352,1,221742.144403324,5226959.38975037
165,352,1,221742.321813834,5226984.89439139
166,2336,1,223415.209620418,5228433.16092484
167,116,1,217409.155410537,5228710.12971833
168,1200,1,217715.013882165,5231936.20988479
169,1749,1,217715.034448247,5231936.20883546
170,784,1,217715.013882165,5231936.20988479
171,1297,1,217225.707237317,5230338.93205088
172,8,1,217409.155410537,5228710.12971833
173,2696,1,217409.155410537,5228710.12971833
174,1587,1,217409.155410537,5228710.12971833
175,1527,1,217409.155410537,5228710.12971833
176,3210,1,217409.155410537,5228710.12971833
177,1061,1,217409.155410537,5228710.12971833
178,1409,1,217409.155410537,5228710.12971833
179,239,1,217409.155410537,5228710.12971833
180,146,1,217409.155410537,5228710.12971833
181,368,1,217564.419626526,5227105.8896025
182,310,1,217709.843662635,5225480.3819549
183,2493,1,217709.843662635,5225480.3819549
184,234,1,220644.199421577,5265648.64082181
185,1635,1,227152.905780948,5266965.63589711
186,1176,1,223950.57717076,5267116.03750418
187,368,1,241203.729645668,5225982.68856534
188,2945,1,224932.314203462,5226769.79046457
189,715,1,231766.787935549,5261928.65546879
190,1977,1,317582.763081936,5255417.52608456
191,80,1,224845.210899312,5223570.28137156
192,353,1,229525.41246363,5221703.75278035
193,369,1,237576.327915186,5221310.71599333
194,2336,1,223283.63131969,5225220.34565601
195,218,1,223349.367210835,5226826.31362713
196,78,1,230967.56657435,5218383.39599316
197,1296,1,225075.885468505,5229984.29796522
198,1180,1,219929.505092285,5249529.84123452
199,1179,1,219959.09435947,5250339.3377071
200,1640,1,219929.505092285,5249529.84123452
201,1270,1,217824.017115903,5244771.30564105
202,1980,1,215819.346688746,5244850.02417504
203,373,1,213597.5457753,5224022.90978308
204,849,1,217420.888643698,5265787.87829572
205,1110,1,211028.762587984,5266106.29652245
206,1104,1,215819.905045545,5265873.01888953
207,2017,1,230564.429919467,5260348.52281828
208,1308,1,231691.231716514,5260301.48742223
209,1762,1,233169.67942675,5260079.8229889
210,1307,1,231691.231716514,5260301.48742223
211,1104,1,215501.219326773,5259421.03449311
212,428,1,224989.183692857,5255766.60964383
213,925,1,222470.341476969,5251838.91547237
214,1308,1,231308.895904754,5252265.36734346
215,427,1,237555.261224105,5252000.5377881
216,828,1,232914.305202936,5251977.86863954
217,1875,1,233435.745688754,5236856.74961825
218,1624,1,230712.454878066,5237504.52056498
219,306,1,230431.962263182,5237795.19227371
