cat,a_cat,a_osm_id,a_code,a_fclass,a_name,a_ref,a_oneway,a_maxspeed,a_layer,a_bridge,a_tunnel,b_cat,to_x,to_y
28,348970,"159735896",5115,"tertiary","15th Street Northwest","CR 100","B",0,1,"T","F",1,210525.616901261,5225722.13342115
29,173645,"18177469",5142,"track","190th Avenue",,"B",0,0,"F","F",1,224046.227028872,5242897.03361065
30,171940,"18175625",5142,"track",,,"B",0,0,"F","F",1,224080.297356357,5243696.67599004
31,506150,"677703376",5122,"residential","160th Street",,"B",0,0,"F","F",1,217949.054796098,5247207.02330438
32,514727,"699782381",5122,"residential","210th Avenue Northwest",,"B",0,1,"T","F",1,221281.610746775,5228546.36536957
33,635770,"836537331",5141,"service",,,"B",0,0,"F","F",1,240011.391300935,5221191.47755284
34,65919,"18047075",5121,"unclassified","180th Street North",,"B",0,0,"F","F",1,239954.416636177,5224422.72983082
35,936786,"1336648701",5142,"track","130th Street",,"B",0,0,"F","F",1,214234.778961256,5267571.02261406
36,734575,"944794819",5121,"unclassified","330th Avenue",,"B",0,0,"F","F",1,231948.614356413,5265156.06104182
37,506146,"677703368",5122,"residential","210th Street","CR 14","B",0,1,"T","F",1,225285.67110528,5234855.01252942
38,506144,"677703366",5122,"residential","220th Street",,"B",0,1,"T","F",1,226837.194243679,5233621.13758156
39,815901,"1122465151",5141,"service",,,"B",0,1,"T","F",1,227936.078622451,5233411.95555822
40,427308,"367462251",5122,"residential","130th Avenue",,"B",0,1,"T","F",1,228831.702108535,5233040.61838736
41,66755,"18048061",5122,"residential","115th Avenue North",,"B",0,0,"F","F",1,253325.228261432,5211769.38009216
42,66435,"18047691",5122,"residential","120th Avenue North",,"B",0,0,"F","F",1,252858.514099681,5212605.50897389
43,66778,"18048085",5122,"residential","130th Avenue North",,"B",0,0,"F","F",1,254791.462070201,5214130.66826651
44,66391,"18047646",5122,"residential","100th Avenue North",,"B",0,0,"F","F",1,253989.583707459,5209329.82172259
45,346519,"158444081",5122,"residential","280th Avenue",,"B",0,0,"F","F",1,241277.948517392,5256697.40143002
46,485692,"627030299",5152,"cycleway","Agassiz Recreational Trail",,"B",0,0,"F","F",1,253716.227060757,5265634.05532228
47,174392,"18178692",5122,"residential","340th Street",,"B",0,0,"F","F",1,247937.254409797,5262516.21313496
48,506142,"677703364",5115,"tertiary","240th Street","CR 20","B",0,1,"T","F",1,230008.483639878,5232458.17171936
49,173859,"18177765",5142,"track","180th Street",,"B",0,0,"F","F",1,221079.087834697,5245444.62882988
50,173859,"18177765",5142,"track","180th Street",,"B",0,0,"F","F",1,221066.85030576,5245215.3757418
51,171716,"18175367",5141,"service",,,"B",0,0,"F","F",1,240555.094653607,5229245.05027541
52,401552,"288365341",5115,"tertiary","120th Avenue",,"B",0,0,"F","F",1,229419.790264524,5231397.50563653
53,524524,"713801287",5121,"unclassified","240th Street","CR 136","B",0,1,"T","F",1,229924.8655057,5230563.84703406
54,610393,"807279203",5121,"unclassified","200th Avenue North",,"B",0,0,"F","F",1,221765.966321811,5226896.34714135
55,401552,"288365341",5115,"tertiary","120th Avenue",,"B",0,0,"F","F",1,217715.020147247,5231936.17722968
56,173563,"18177367",5121,"unclassified","110th Avenue",,"B",0,0,"F","F",1,217225.707237317,5230338.93205088
57,171829,"18175495",5141,"service",,,"B",0,0,"F","F",1,217405.218651652,5229387.21884908
58,67070,"18048403",5142,"track","North 210 Avenue",,"B",0,0,"F","F",1,217409.155167938,5228710.12991575
59,888468,"1272882484",5142,"track",,,"B",0,0,"F","F",1,217069.271146064,5227872.67877622
60,610393,"807279203",5121,"unclassified","200th Avenue North",,"B",0,0,"F","F",1,217564.357973074,5227102.67230541
61,754024,"993109531",5115,"tertiary","190th Avenue North","CR 70","B",0,1,"T","F",1,217709.905186303,5225481.19917753
62,173750,"18177591",5121,"unclassified","330th Avenue",,"B",0,0,"F","F",1,220644.179443302,5265648.64187477
63,506135,"677692884",5115,"tertiary","210th Street",,"B",0,0,"F","F",1,227152.905780948,5266965.63589711
64,610394,"807279204",5121,"unclassified","200th Avenue North",,"B",0,1,"T","F",1,241204.194664348,5225984.94349225
65,453912,"502881327",5115,"tertiary","310th Avenue",,"B",0,0,"F","F",1,231766.870443629,5261930.74523145
66,173645,"18177469",5142,"track","190th Avenue",,"B",0,0,"F","F",1,223687.80474875,5242904.56243172
67,67189,"18048545",5121,"unclassified","170th Avenue North",,"B",0,0,"F","F",1,226322.862460055,5221863.21894102
68,66926,"18048243",5122,"residential","150th Street North",,"B",0,0,"F","F",1,235974.904714242,5221348.71114059
69,302767,"98654179",5115,"tertiary","70th Street North","CR 11","B",0,0,"F","F",1,223284.527499515,5225219.44420005
70,302903,"98952523",5121,"unclassified","180th Street North",,"B",0,0,"F","F",1,240019.374254066,5226026.88908005
71,65888,"18047043",5115,"tertiary","120th Street North","CR 19","B",0,0,"F","F",1,230965.988475099,5218383.48362893
72,67093,"18048428",5115,"tertiary","160th Avenue North","CR 34","B",0,0,"F","F",1,227845.060010674,5220197.020756
73,171987,"18175676",5141,"service",,,"B",0,0,"F","F",1,220773.545886938,5251907.91677787
74,173432,"18177225",5122,"residential","150th Street",,"B",0,0,"F","F",1,216214.413317135,5244830.38715194
75,506150,"677703376",5122,"residential","160th Street",,"B",0,0,"F","F",1,217824.017115903,5244771.30564105
76,66118,"18047321",5121,"unclassified","5th Street North",,"B",0,0,"F","F",1,213595.939132384,5224022.98056328
77,173498,"18177297",5121,"unclassified","110th Street",,"B",0,0,"F","F",1,211028.762587984,5266106.29652245
78,171687,"18175338",5141,"service",,,"B",0,0,"F","F",1,219699.895822047,5265685.76889778
79,506135,"677692884",5115,"tertiary","210th Street",,"B",0,0,"F","F",1,226814.047054819,5260522.56653066
80,174148,"18178293",5115,"tertiary","260th Street",,"B",0,0,"F","F",1,234875.60962349,5259374.78598743
81,171776,"18175434",5122,"residential","230th Street",,"B",0,0,"F","F",1,229808.90625642,5255540.77906804
82,882948,"1257995120",5122,"residential","250th Street",,"B",0,1,"T","F",1,232913.583764543,5251977.91341913
83,173710,"18177539",5122,"residential","260th Avenue",,"B",0,0,"F","F",1,238280.154742159,5253586.48786962
84,346511,"158444052",5142,"track","Agassiz Central Trail",,"B",0,1,"T","F",1,233154.982104915,5251779.92052057
85,978354,"1413125398",5115,"tertiary","245th Avenue",,"B",0,1,"T","F",1,222470.29518173,5251839.94887599
86,174393,"18178694",5122,"residential","340th Street",,"B",0,0,"F","F",1,247218.057627657,5242709.87432651
87,882929,"1257995095",5115,"tertiary","160th Avenue","CR 20","B",0,0,"F","F",1,230431.982221552,5237795.19090812
88,663648,"883646315",5115,"tertiary","300th Street",,"B",0,0,"F","F",1,239898.6355526,5236558.89480424
89,514728,"699782384",5115,"tertiary","15th Street Northwest","CR 100","B",0,1,"T","F",1,210558.825674119,5227323.59943076
90,66118,"18047321",5121,"unclassified","5th Street North",,"B",0,0,"F","F",1,213741.144394556,5227249.45383422
91,66657,"18047947",5113,"primary","140th St North","MN 9","B",0,0,"F","F",1,234182.20220927,5218214.11600189
92,66926,"18048243",5122,"residential","150th Street North",,"B",0,0,"F","F",1,235817.278295964,5218136.39368881
93,961004,"1380021382",5142,"track",,,"B",0,0,"F","F",1,237357.898887001,5215989.2289217
94,976703,"1411917574",5142,"track","210th Avenue",,"B",0,0,"F","F",1,252896.891332472,5244861.76876331
95,173484,"18177280",5122,"residential","T-115",,"B",0,0,"F","F",1,252855.50239263,5243652.28527248
96,174230,"18178417",5122,"residential","220th Street",,"B",0,0,"F","F",1,227199.708376455,5241177.59373636
97,511363,"694543019",5122,"residential","290th Street",,"B",0,0,"F","F",1,317582.872396623,5255418.43704097
